fingerprint_set,arrival_mode,scheduler,n,card_cv_mean,card_cv_ci95,card_jfi_mean,card_jfi_ci95,card_lif_mean,card_lif_ci95,max_min_ratio_mean,max_min_ratio_ci95,avg_load_imbalance_mean,avg_load_imbalance_ci95,completion_rate_mean,completion_rate_ci95,throughput_mean,throughput_ci95,throughput_excl_cold_mean,throughput_excl_cold_ci95,mean_cold_start_mean,mean_cold_start_ci95,p99_delay_mean,p99_delay_ci95,avg_delay_mean,avg_delay_ci95,p99_delay_excl_cold_mean,p99_delay_excl_cold_ci95,avg_delay_excl_cold_mean,avg_delay_excl_cold_ci95,avg_congestion_ratio_mean,avg_congestion_ratio_ci95,congested_card_tick_frac_mean,congested_card_tick_frac_ci95,mean_congestion_wait_ticks_mean,mean_congestion_wait_ticks_ci95,p95_congestion_wait_ticks_mean,p95_congestion_wait_ticks_ci95,avg_utilization_mean,avg_utilization_ci95,peak_backlog_mean,peak_backlog_ci95,time_card_cv_mean_mean,time_card_cv_mean_ci95,time_card_cv_max_mean,time_card_cv_max_ci95,time_card_jfi_mean_mean,time_card_jfi_mean_ci95,time_card_lif_mean_mean,time_card_lif_mean_ci95,time_card_lif_max_mean,time_card_lif_max_ci95,time_card_max_min_ratio_mean_mean,time_card_max_min_ratio_mean_ci95,time_card_load_variance_mean_mean,time_card_load_variance_mean_ci95,completed_tasks_mean,completed_tasks_ci95,tail_count_mean,tail_count_ci95,tail_frac_mean,tail_frac_ci95,max_delay_mean,max_delay_ci95,avg_delay_above_p99_mean,avg_delay_above_p99_ci95,max_delay_excl_cold_mean,max_delay_excl_cold_ci95,eff_tail_count_mean,eff_tail_count_ci95,eff_tail_frac_mean,eff_tail_frac_ci95,eff_avg_delay_above_p99_mean,eff_avg_delay_above_p99_ci95
mixed,poisson,rr,5,0.42982403283668624,0.005818327359305057,0.8417020243113861,0.003630441132518874,1.532579916806811,0.008191857181998375,12.112481077806063,0.8342438088592892,62723946804.3478,533815495.395824,1.0,0.0,6.07441504751048,0.00452521987575826,6.07441504751048,0.00452521987575826,0.0,0.0,15.0,0.0,5.285,0.0,15.0,0.0,5.285,0.0,0.11914452887516745,0.002168102572592152,0.306761958287679,0.0032035760538219964,1.2223125,0.01960631538879757,3.0,0.0,0.6637305767575125,0.0031841840321077597,3001570.1873046877,181571.7265111165,0.44016972370573737,0.0060777003932100775,0.4901965092172502,0.010261322166533433,0.837563527268954,0.0037414509685171305,1.5083626498187788,0.007498390522898525,1.6212190471124432,0.025049057447505536,60.654547103272954,3.2542750751986467,68980084901.70753,1498056034.365664,3200,0.0,0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0,0.0,0.0,0.0,0.0,0.0
mixed,bursty,rr,5,0.5146220115599351,0.015474593267004245,0.7807688464842574,0.008407568402250546,1.8854175577711043,0.04527514498877818,21.362685584689423,2.090097731040149,56677604723.69209,1004182450.1232523,1.0,0.0,6.07441504751048,0.00452521987575826,6.07441504751048,0.00452521987575826,0.0,0.0,15.201999999999952,0.3959199999999073,5.4320625,0.12527153910356084,15.201999999999952,0.3959199999999073,5.4320625,0.12527153910356084,0.12942573991401882,0.008100345576771181,0.32670385133688495,0.014149209722121154,1.5818125,0.057751442406229134,3.6,0.4800999895855029,0.6120846780310317,0.00866500260578466,3352985.18203125,216089.74553516204,0.5678889040032269,0.01475176992204828,0.6181215423627833,0.018317250913527785,0.7561246595865255,0.009556987918944281,1.6358541165071745,0.024045799631535143,1.7371765917407003,0.04122683182826281,67.68521507261963,0.363018312353911,97625679401.24239,3103967348.0263386,3200,0.0,11.8,10.267107869307695,0.0036875,0.0032084712091586544,18.6,2.5252833504381242,17.229166666666668,1.124363461894971,18.6,2.5252833504381242,11.8,10.267107869307695,0.0036875,0.0032084712091586544,17.229166666666668,1.124363461894971
mixed,mixed,rr,5,0.4333196263355492,0.0059361669923784655,0.8397880920097507,0.00377392493453654,1.5325752684749867,0.014993671183964346,12.97851962795636,1.3033230430670255,63384608505.98871,1016360820.164426,1.0,0.0,6.076723833161377,0.005542239834754213,6.076723833161377,0.005542239834754213,0.0,0.0,15.0,0.0,5.285,0.0,15.0,0.0,5.285,0.0,0.11927129632408257,0.0023261419421321873,0.3081463866953817,0.005674911937636953,1.2218125,0.02065714706826666,3.0,0.0,0.6630679892442283,0.005279855244434715,3048157.483203125,62126.80423527445,0.44319527321750823,0.00672549833533616,0.4725528156821036,0.016965937614988134,0.8357522646835966,0.004160355488924923,1.5091011227217825,0.011997379913276688,1.5819190516871775,0.025984987519613534,73.3265391209685,14.2523846350525,69886070260.24768,1323713137.5084293,3200,0.0,0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0,0.0,0.0,0.0,0.0,0.0
mixed,poisson,bestfit,5,0.38807361318819505,0.0024651634739768775,0.8666464266062914,0.0014664576894763033,1.5626380092025443,0.0105040459259091,6.693331363793872,0.5744205794917985,49507428604.497055,169100259.3822628,1.0,0.0,6.07441504751048,0.00452521987575826,6.07441504751048,0.00452521987575826,0.0,0.0,15.0,0.0,5.28825,0.0016389382996318,15.0,0.0,5.28825,0.0016389382996318,0.10710290686175573,0.0021619171592523875,0.26877715645898664,0.005131019973075902,1.029,0.01633596176767685,3.0,0.0,0.6519029752224472,0.004001041211742288,2825155.009375,91311.84063246156,0.40164987910181965,0.0032930944033259615,0.4643921471238114,0.010865918788170002,0.8606941792665627,0.001985385860914109,1.535565372496521,0.009157837568101637,1.617277106506619,0.022390232526755878,31.731495430391647,4.295499547589304,55650021781.85577,659375593.6683774,3200,0.0,0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0,0.0,0.0,0.0,0.0,0.0
mixed,bursty,bestfit,5,0.47115693986575796,0.009043565526399743,0.8071935324565174,0.005247841400745727,1.8791045471670271,0.03882858252335076,15.412228523693186,0.7545599314817611,47768745476.551476,1009373357.1934736,1.0,0.0,6.07441504751048,0.00452521987575826,6.07441504751048,0.00452521987575826,0.0,0.0,15.2,0.39199999999999996,5.4653125000000005,0.10903652677830031,15.2,0.39199999999999996,5.4653125000000005,0.10903652677830031,0.11955078253976315,0.008196417791322576,0.3158912513696301,0.015236819368339148,1.394,0.08279640790819365,3.2,0.39199999999999996,0.6124210961042628,0.006592961387728255,3152671.2255859375,206442.01639068537,0.543253627058582,0.011105655318927399,0.6354065624863079,0.023808595141911287,0.7720224488944152,0.007171648571920508,1.6370221217664074,0.01848211504171098,1.7974038835268729,0.030716583590900695,63.00642135394698,2.8182972053697233,89205223713.33864,2975018024.1459866,3200,0.0,10.8,10.078288743631033,0.003375,0.003149465232384698,18.4,1.708688385867944,17.100788530465948,0.8765976058521852,18.4,1.708688385867944,10.8,10.078288743631033,0.003375,0.003149465232384698,17.100788530465948,0.8765976058521852
mixed,mixed,bestfit,5,0.38438980962536684,0.004925495779232664,0.8687974487665139,0.002915181090373861,1.5559272331608034,0.017396864886300427,6.377105151314196,0.29229600724520427,48825857428.36303,567746995.3583235,1.0,0.0,6.076723833161377,0.005542239834754213,6.076723833161377,0.005542239834754213,0.0,0.0,15.0,0.0,5.28925,0.0013079420858738687,15.0,0.0,5.28925,0.0013079420858738687,0.1074301406746805,0.002277826597055044,0.269854756237327,0.005164007296720657,1.0364375000000001,0.007217630973872279,3.0,0.0,0.6540387118411802,0.00627359035302214,2975750.167578125,168771.93300563848,0.3972188571360918,0.006055915419620586,0.45560537440150023,0.015110976713938351,0.8633531812122115,0.0036226509600886746,1.531741524130953,0.014668018439124195,1.6410891068932565,0.047754906346218165,29.92194487329547,4.0977350232865,54620942270.08945,766589721.9498273,3200,0.0,0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0,0.0,0.0,0.0,0.0,0.0
mixed,poisson,drf,5,0.38807361318819505,0.0024651634739768775,0.8666464266062914,0.0014664576894763033,1.5626380092025443,0.0105040459259091,6.693331363793872,0.5744205794917985,49507428604.497055,169100259.3822628,1.0,0.0,6.07441504751048,0.00452521987575826,6.07441504751048,0.00452521987575826,0.0,0.0,15.0,0.0,5.28825,0.0016389382996318,15.0,0.0,5.28825,0.0016389382996318,0.10710290686175573,0.0021619171592523875,0.26877715645898664,0.005131019973075902,1.029,0.01633596176767685,3.0,0.0,0.6519029752224472,0.004001041211742288,2825155.009375,91311.84063246156,0.40164987910181965,0.0032930944033259615,0.4643921471238114,0.010865918788170002,0.8606941792665627,0.001985385860914109,1.535565372496521,0.009157837568101637,1.617277106506619,0.022390232526755878,31.731495430391647,4.295499547589304,55650021781.85577,659375593.6683774,3200,0.0,0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0,0.0,0.0,0.0,0.0,0.0
mixed,bursty,drf,5,0.47115693986575796,0.009043565526399743,0.8071935324565174,0.005247841400745727,1.8791045471670271,0.03882858252335076,15.412228523693186,0.7545599314817611,47768745476.551476,1009373357.1934736,1.0,0.0,6.07441504751048,0.00452521987575826,6.07441504751048,0.00452521987575826,0.0,0.0,15.2,0.39199999999999996,5.4653125000000005,0.10903652677830031,15.2,0.39199999999999996,5.4653125000000005,0.10903652677830031,0.11955078253976315,0.008196417791322576,0.3158912513696301,0.015236819368339148,1.394,0.08279640790819365,3.2,0.39199999999999996,0.6124210961042628,0.006592961387728255,3152671.2255859375,206442.01639068537,0.543253627058582,0.011105655318927399,0.6354065624863079,0.023808595141911287,0.7720224488944152,0.007171648571920508,1.6370221217664074,0.01848211504171098,1.7974038835268729,0.030716583590900695,63.00642135394698,2.8182972053697233,89205223713.33864,2975018024.1459866,3200,0.0,10.8,10.078288743631033,0.003375,0.003149465232384698,18.4,1.708688385867944,17.100788530465948,0.8765976058521852,18.4,1.708688385867944,10.8,10.078288743631033,0.003375,0.003149465232384698,17.100788530465948,0.8765976058521852
mixed,mixed,drf,5,0.38438980962536684,0.004925495779232664,0.8687974487665139,0.002915181090373861,1.5559272331608034,0.017396864886300427,6.377105151314196,0.29229600724520427,48825857428.36303,567746995.3583235,1.0,0.0,6.076723833161377,0.005542239834754213,6.076723833161377,0.005542239834754213,0.0,0.0,15.0,0.0,5.28925,0.0013079420858738687,15.0,0.0,5.28925,0.0013079420858738687,0.1074301406746805,0.002277826597055044,0.269854756237327,0.005164007296720657,1.0364375000000001,0.007217630973872279,3.0,0.0,0.6540387118411802,0.00627359035302214,2975750.167578125,168771.93300563848,0.3972188571360918,0.006055915419620586,0.45560537440150023,0.015110976713938351,0.8633531812122115,0.0036226509600886746,1.531741524130953,0.014668018439124195,1.6410891068932565,0.047754906346218165,29.92194487329547,4.0977350232865,54620942270.08945,766589721.9498273,3200,0.0,0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0,0.0,0.0,0.0,0.0,0.0
mixed,poisson,p2c,5,0.5310694315629242,0.008637736456596433,0.7789838854837249,0.0053442788870868676,1.5980762427632353,0.008967875842550564,14.7487650129194,1.1527403364164353,87216962846.98122,1796039715.394483,1.0,0.0,6.07441504751048,0.00452521987575826,6.07441504751048,0.00452521987575826,0.0,0.0,15.0,0.0,5.285,0.0,15.0,0.0,5.285,0.0,0.12797814693615062,0.0009758528617399859,0.3385154154229796,0.0032784008386510005,1.4838125,0.01047249626999221,3.0,0.0,0.6370265588118186,0.004033340055974971,3098185.598828125,163973.72301334413,0.5369568171686163,0.007983054738044025,0.6165471409667368,0.02933031299826636,0.7760758965854591,0.005144274892865149,1.573542981507306,0.009844175757318357,1.7128355693320014,0.04722985988042359,64.96630311966523,3.1040156005769357,94260190773.5274,1774215093.3485725,3200,0.0,0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0,0.0,0.0,0.0,0.0,0.0
