fingerprint_set,arrival_mode,scheduler,n,card_cv_mean,card_cv_ci95,card_jfi_mean,card_jfi_ci95,card_lif_mean,card_lif_ci95,max_min_ratio_mean,max_min_ratio_ci95,avg_load_imbalance_mean,avg_load_imbalance_ci95,completion_rate_mean,completion_rate_ci95,throughput_mean,throughput_ci95,throughput_excl_cold_mean,throughput_excl_cold_ci95,mean_cold_start_mean,mean_cold_start_ci95,p99_delay_mean,p99_delay_ci95,avg_delay_mean,avg_delay_ci95,p99_delay_excl_cold_mean,p99_delay_excl_cold_ci95,avg_delay_excl_cold_mean,avg_delay_excl_cold_ci95,avg_congestion_ratio_mean,avg_congestion_ratio_ci95,congested_card_tick_frac_mean,congested_card_tick_frac_ci95,mean_congestion_wait_ticks_mean,mean_congestion_wait_ticks_ci95,p95_congestion_wait_ticks_mean,p95_congestion_wait_ticks_ci95,avg_utilization_mean,avg_utilization_ci95,peak_backlog_mean,peak_backlog_ci95,time_card_cv_mean_mean,time_card_cv_mean_ci95,time_card_cv_max_mean,time_card_cv_max_ci95,time_card_jfi_mean_mean,time_card_jfi_mean_ci95,time_card_lif_mean_mean,time_card_lif_mean_ci95,time_card_lif_max_mean,time_card_lif_max_ci95,time_card_max_min_ratio_mean_mean,time_card_max_min_ratio_mean_ci95,time_card_load_variance_mean_mean,time_card_load_variance_mean_ci95,completed_tasks_mean,completed_tasks_ci95,tail_count_mean,tail_count_ci95,tail_frac_mean,tail_frac_ci95,max_delay_mean,max_delay_ci95,avg_delay_above_p99_mean,avg_delay_above_p99_ci95,max_delay_excl_cold_mean,max_delay_excl_cold_ci95,eff_tail_count_mean,eff_tail_count_ci95,eff_tail_frac_mean,eff_tail_frac_ci95,eff_avg_delay_above_p99_mean,eff_avg_delay_above_p99_ci95
mixed,mixed,rr,5,0.4333196263355492,0.0059361669923784655,0.8397880920097507,0.00377392493453654,1.5325752684749867,0.014993671183964346,12.97851962795636,1.3033230430670255,63384608505.98871,1016360820.164426,1.0,0.0,6.076723833161377,0.005542239834754213,6.076723833161377,0.005542239834754213,0.0,0.0,15.0,0.0,5.285,0.0,15.0,0.0,5.285,0.0,0.11927129632408257,0.0023261419421321873,0.3081463866953817,0.005674911937636953,1.2218125,0.02065714706826666,3.0,0.0,0.6630679892442283,0.005279855244434715,3048157.483203125,62126.80423527445,0.44319527321750823,0.00672549833533616,0.4725528156821036,0.016965937614988134,0.8357522646835966,0.004160355488924923,1.5091011227217825,0.011997379913276688,1.5819190516871775,0.025984987519613534,73.3265391209685,14.2523846350525,69886070260.24768,1323713137.5084293,3200,0.0,0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0,0.0,0.0,0.0,0.0,0.0
mixed,mixed,bestfit,5,0.38438980962536684,0.004925495779232664,0.8687974487665139,0.002915181090373861,1.5559272331608034,0.017396864886300427,6.377105151314196,0.29229600724520427,48825857428.36303,567746995.3583235,1.0,0.0,6.076723833161377,0.005542239834754213,6.076723833161377,0.005542239834754213,0.0,0.0,15.0,0.0,5.28925,0.0013079420858738687,15.0,0.0,5.28925,0.0013079420858738687,0.1074301406746805,0.002277826597055044,0.269854756237327,0.005164007296720657,1.0364375000000001,0.007217630973872279,3.0,0.0,0.6540387118411802,0.00627359035302214,2975750.167578125,168771.93300563848,0.3972188571360918,0.006055915419620586,0.45560537440150023,0.015110976713938351,0.8633531812122115,0.0036226509600886746,1.531741524130953,0.014668018439124195,1.6410891068932565,0.047754906346218165,29.92194487329547,4.0977350232865,54620942270.08945,766589721.9498273,3200,0.0,0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0,0.0,0.0,0.0,0.0,0.0
mixed,mixed,drf,5,0.38438980962536684,0.004925495779232664,0.8687974487665139,0.002915181090373861,1.5559272331608034,0.017396864886300427,6.377105151314196,0.29229600724520427,48825857428.36303,567746995.3583235,1.0,0.0,6.076723833161377,0.005542239834754213,6.076723833161377,0.005542239834754213,0.0,0.0,15.0,0.0,5.28925,0.0013079420858738687,15.0,0.0,5.28925,0.0013079420858738687,0.1074301406746805,0.002277826597055044,0.269854756237327,0.005164007296720657,1.0364375000000001,0.007217630973872279,3.0,0.0,0.6540387118411802,0.00627359035302214,2975750.167578125,168771.93300563848,0.3972188571360918,0.006055915419620586,0.45560537440150023,0.015110976713938351,0.8633531812122115,0.0036226509600886746,1.531741524130953,0.014668018439124195,1.6410891068932565,0.047754906346218165,29.92194487329547,4.0977350232865,54620942270.08945,766589721.9498273,3200,0.0,0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0,0.0,0.0,0.0,0.0,0.0
mixed,mixed,p2c,5,0.5293741202802733,0.01127680129827907,0.7800633665945448,0.007215636495002728,1.5920681057795347,0.015756424423589908,15.352249561134792,1.5152416434617761,87849123382.85944,1934423831.6534379,1.0,0.0,6.076723833161377,0.005542239834754213,6.076723833161377,0.005542239834754213,0.0,0.0,15.0,0.0,5.285,0.0,15.0,0.0,5.285,0.0,0.12792899458182097,0.0017891068449009894,0.33959962720872533,0.004963434581952121,1.4969375,0.01996825151959982,3.0,0.0,0.6392886466702526,0.005326121645785762,3202333.29375,210687.57095235656,0.5349183498617983,0.011642990312325905,0.6516924801324238,0.047961082193615966,0.7773091939610965,0.007493780776153138,1.5702693047738367,0.011822954859282296,1.7963641423312027,0.08524991254334051,61.725678728512385,1.8066596376818218,93847469078.82959,2753893494.700182,3200,0.0,0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0,0.0,0.0,0.0,0.0,0.0
mixed,mixed,stps,5,0.35401647005862497,0.005510389606903005,0.885101391522771,0.0031228998712887843,1.5161741922283245,0.01737302327327855,12.300875749347124,0.9321643477367747,43895535010.8536,655133367.8084767,1.0,0.0,6.074423792910673,0.008452174032614954,6.0906785572626445,0.00840652737932004,1.4059375,0.008943339001737553,17.0,0.0,6.7059375,0.008192402158402515,15.0,0.0,5.3,0.002613014303443347,0.0988700014401606,0.001697796007598011,0.22813008298069293,0.005082764715379598,0.8539375,0.011499024822783883,3.0,0.0,0.6716548722596328,0.006780761821767867,2796056.8625,164353.77491421744,0.37069165656853026,0.005693784703239965,0.41202215564906014,0.0062873559704111305,0.8790117853432527,0.003267317485779361,1.4900660001482178,0.015324223932283223,1.5699644962778176,0.03731367079686516,57.16893753931008,2.90521906612681,50384711542.439316,687746892.1640785,3200,0.0,0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,15.0,0.0,0,0.0,0.0,0.0,0.0,0.0
