cards,stps_cong,stps_cong_ci,best_baseline,best_cong,best_cong_ci
4,0.1145909021187049,0.010184222732645312,bestfit,0.12509579164302037,0.010089227719115666
8,0.10744923348075082,0.009847244774732124,bestfit,0.12189075105227931,0.008190272433108148
16,0.10633471465650954,0.007541479796374143,bestfit,0.11955078253976315,0.007331098941354386
32,0.10765529037677357,0.008194494532067595,bestfit,0.12046533065082192,0.006950222588897995
64,0.10609625314014215,0.008898363956158091,bestfit,0.11858376578927614,0.008299713440275082
