scheduler,seed,tasks,arrival_mode,card_cv,card_jfi,max_min_ratio,avg_load_imbalance,completion_rate,throughput,flat_pct,bursty_pct
rr,21,800,poisson,0.2793491142226198,0.9069734179460294,1.5568766808882823,6111542787.69964,1.0,1.556420233463035,100,0
rr,42,800,poisson,0.2543695676928561,0.9176603539051292,1.546306911426401,5880116314.86306,1.0,1.5594541910331383,100,0
rr,99,800,poisson,0.2580428563912856,0.9160078117519765,1.5590280101371,6122186488.845929,1.0,1.5533980582524272,100,0
rr,123,800,poisson,0.27688664461809964,0.9098528929787927,1.5771050742519581,6228749864.222791,1.0,1.556420233463035,100,0
rr,2024,800,poisson,0.2850053598117083,0.9062011751199931,1.5933256393114095,6049362886.651349,1.0,1.5533980582524272,100,0
rr,21,800,poisson,0.5842108516897384,0.7496251360881112,11.959900154802588,27265915050.526005,1.0,1.556420233463035,75,25
rr,42,800,poisson,0.5657633520052404,0.7580650266481929,12.400831783611894,27503830549.86405,1.0,1.5594541910331383,75,25
rr,99,800,poisson,0.5791399252383979,0.7512692891697484,12.234904558642723,28646822693.691826,1.0,1.5533980582524272,75,25
rr,123,800,poisson,0.5727056449527185,0.7544732127444912,11.690535035661556,27611248529.856594,1.0,1.556420233463035,75,25
rr,2024,800,poisson,0.5870041080839219,0.7492085134740756,12.01170188567083,26770183007.966915,1.0,1.5533980582524272,75,25
rr,21,800,poisson,0.8150383767366788,0.6152959442254129,26.428635076492903,50101585951.67462,1.0,1.556420233463035,50,50
rr,42,800,poisson,0.7966366392122689,0.62198034557825,26.304923919665562,50568510255.26586,1.0,1.5594541910331383,50,50
rr,99,800,poisson,0.8192802298698612,0.6111653044186767,26.51116690606032,52069732828.32342,1.0,1.5533980582524272,50,50
rr,123,800,poisson,0.8086026188549811,0.6176856154704218,24.96484392694723,51161319010.77433,1.0,1.556420233463035,50,50
rr,2024,800,poisson,0.8293048965042062,0.6056777019622971,26.947120756685024,52608465335.869385,1.0,1.5533980582524272,50,50
