scheduler,seed,tasks,arrival_mode,card_cv,card_jfi,max_min_ratio,avg_load_imbalance,completion_rate,throughput,utilization
rr,21,320,poisson,0.9838316166649604,0.5448033605580282,15.124605883942081,250229110451.55707,1.0,0.622568093385214,0.3
rr,42,320,poisson,0.9745296037366068,0.5455189870408326,11.18388252755024,245920377662.61746,1.0,0.622568093385214,0.3
rr,99,320,poisson,0.9585786239366255,0.5557859207995236,13.16258233941676,253551573191.34903,1.0,0.625,0.3
rr,123,320,poisson,0.9712989266398937,0.5512395349165328,17.161258969314765,250411829660.5887,1.0,0.622568093385214,0.3
rr,2024,320,poisson,0.9932145194851845,0.5414021150584291,15.214136976268014,248078675085.7997,1.0,0.6153846153846154,0.3
rr,21,560,poisson,0.8366417526736363,0.6036232408149298,10.269671985440853,381481461703.34485,1.0,1.0666666666666667,0.5
rr,42,560,poisson,0.8239552994324578,0.6117428608890416,11.01678064978916,382008668934.16144,1.0,1.0707456978967496,0.5
rr,99,560,poisson,0.8385147173364538,0.6010524475297129,10.557830883134718,382357475937.918,1.0,1.0626185958254268,0.5
rr,123,560,poisson,0.824761840026563,0.6101039358851365,10.843170189344917,381525357680.0094,1.0,1.0666666666666667,0.5
rr,2024,560,poisson,0.8428589008624602,0.601468775521536,12.80820517407189,383849014881.3434,1.0,1.0687022900763359,0.5
rr,21,800,poisson,0.7531379359825002,0.6455125474420916,8.897725016366927,459992676044.16547,1.0,1.5238095238095237,0.7
rr,42,800,poisson,0.7523618002572316,0.6461740048766264,9.278403305816553,463817170447.194,1.0,1.5296367112810707,0.7
rr,99,800,poisson,0.7463846805646395,0.6487622563423379,9.42579644964235,468305432432.63794,1.0,1.5325670498084292,0.7
rr,123,800,poisson,0.7573658719710795,0.643330368407214,9.493717858943976,477715386007.6985,1.0,1.5267175572519085,0.7
rr,2024,800,poisson,0.7651861427635983,0.6377963859968726,9.56738763692063,471380578012.5992,1.0,1.5267175572519085,0.7
rr,21,1020,poisson,0.6417043432187571,0.7111806744368607,7.8376447746359,466742282885.05945,1.0,1.9540229885057472,0.85
rr,42,1020,poisson,0.6439721426584253,0.7092889019547124,8.294031646675892,470418301130.1481,1.0,1.9540229885057472,0.85
rr,99,1020,poisson,0.6331315453973282,0.7154960471897929,7.806792985487895,477927327154.8739,1.0,1.9577735124760076,0.85
rr,123,1020,poisson,0.6521437417407172,0.7033858222902266,7.972875476008705,482958786543.357,1.0,1.9465648854961832,0.85
rr,2024,1020,poisson,0.6608406000794834,0.6989412681873758,6.620489346058407,488971247525.9401,1.0,1.9502868068833652,0.85
rr,21,1100,poisson,0.6047729222895366,0.7328419911311254,6.893447721493052,459409782969.6399,1.0,2.0952380952380953,0.95
rr,42,1100,poisson,0.5988555758160523,0.7362939372682736,6.8419518997940205,459279739010.78,1.0,2.099236641221374,0.95
rr,99,1100,poisson,0.6030727723419217,0.7336432417593199,5.430572251895995,472414383944.5786,1.0,2.0872865275142316,0.95
rr,123,1100,poisson,0.612064730038288,0.728298536956869,5.358759839365802,473671020111.8487,1.0,2.091254752851711,0.95
rr,2024,1100,poisson,0.6185640285273284,0.7246714109744496,5.74014553519471,476857473635.6475,1.0,2.0952380952380953,0.95
bestfit,21,320,poisson,0.9071071204685403,0.5787675206590484,13.1188635206192,199914787933.00955,1.0,0.622568093385214,0.3
bestfit,42,320,poisson,0.920434545193928,0.5671476201864145,12.611085238088398,202356086129.09686,1.0,0.622568093385214,0.3
bestfit,99,320,poisson,0.8745609706780408,0.5916296195793563,14.919009923167378,197457643388.24548,1.0,0.625,0.3
bestfit,123,320,poisson,0.888086054239454,0.5878818556594694,16.973775814689816,203075678493.00803,1.0,0.622568093385214,0.3
bestfit,2024,320,poisson,0.9296806421927731,0.567922451205352,15.139648455640284,197157414706.03906,1.0,0.6153846153846154,0.3
bestfit,21,560,poisson,0.7399376578922586,0.6556094971888611,11.61638616898086,297657536024.61115,1.0,1.0666666666666667,0.5
bestfit,42,560,poisson,0.7328554756291392,0.6591460371573791,13.113683183762909,301373996579.9532,1.0,1.0707456978967496,0.5
bestfit,99,560,poisson,0.7325704807500587,0.656812718545672,11.559607606999165,294783783540.4233,1.0,1.0626185958254268,0.5
bestfit,123,560,poisson,0.7306658235529385,0.6597850543986119,12.650181971339563,292998696124.03156,1.0,1.0666666666666667,0.5
bestfit,2024,560,poisson,0.7460617970292549,0.6513048784222858,11.263685746595911,305303244431.8449,1.0,1.0687022900763359,0.5
bestfit,21,800,poisson,0.6586929668490503,0.6997972433808499,7.832760835829458,354765195447.8983,1.0,1.5238095238095237,0.7
bestfit,42,800,poisson,0.682052671442752,0.6860722571979417,7.084344301186049,361372599955.86163,1.0,1.5296367112810707,0.7
bestfit,99,800,poisson,0.6541462308426854,0.7020397136868418,9.325061823044829,344633978590.9984,1.0,1.5325670498084292,0.7
bestfit,123,800,poisson,0.6620226415992249,0.6973796945019979,6.857934785481414,347562588427.9667,1.0,1.5267175572519085,0.7
bestfit,2024,800,poisson,0.6710885854116544,0.6924060559532534,9.739000002648229,353372261619.20575,1.0,1.5267175572519085,0.7
bestfit,21,1020,poisson,0.5431003101945093,0.7700940663536453,6.379676297555951,336591514020.5486,1.0,1.9540229885057472,0.85
bestfit,42,1020,poisson,0.5649202311018627,0.7562022541598709,5.332550028167496,361195932917.8308,1.0,1.9540229885057472,0.85
bestfit,99,1020,poisson,0.5525232070783358,0.7651429426817018,6.029117639941445,357358725379.1056,1.0,1.9577735124760076,0.85
bestfit,123,1020,poisson,0.5760006451129194,0.7506488026657443,5.49107793942607,362261472943.10956,1.0,1.9465648854961832,0.85
bestfit,2024,1020,poisson,0.5475623624858783,0.7677280964863551,4.332793972543014,339983947159.56464,1.0,1.9502868068833652,0.85
bestfit,21,1100,poisson,0.48846730989798,0.802475768527172,4.677486808995955,316449496232.59454,1.0,2.0952380952380953,0.95
bestfit,42,1100,poisson,0.5059366555088683,0.7919569636053065,4.372999598137104,313935963432.97064,1.0,2.099236641221374,0.95
bestfit,99,1100,poisson,0.487960110352535,0.8038711874433117,3.8270471992380504,309232304450.7293,1.0,2.0872865275142316,0.95
bestfit,123,1100,poisson,0.51052983588809,0.7902143325970997,4.8548753601298955,332209554897.1614,1.0,2.091254752851711,0.95
bestfit,2024,1100,poisson,0.5101521785405874,0.7899952043373784,5.26638436497944,330737256833.71423,1.0,2.0952380952380953,0.95
drf,21,320,poisson,0.9071071204685403,0.5787675206590484,13.1188635206192,199914787933.00955,1.0,0.622568093385214,0.3
drf,42,320,poisson,0.920434545193928,0.5671476201864145,12.611085238088398,202356086129.09686,1.0,0.622568093385214,0.3
drf,99,320,poisson,0.8745609706780408,0.5916296195793563,14.919009923167378,197457643388.24548,1.0,0.625,0.3
drf,123,320,poisson,0.888086054239454,0.5878818556594694,16.973775814689816,203075678493.00803,1.0,0.622568093385214,0.3
drf,2024,320,poisson,0.9296806421927731,0.567922451205352,15.139648455640284,197157414706.03906,1.0,0.6153846153846154,0.3
drf,21,560,poisson,0.7399376578922586,0.6556094971888611,11.61638616898086,297657536024.61115,1.0,1.0666666666666667,0.5
drf,42,560,poisson,0.7328554756291392,0.6591460371573791,13.113683183762909,301373996579.9532,1.0,1.0707456978967496,0.5
drf,99,560,poisson,0.7325704807500587,0.656812718545672,11.559607606999165,294783783540.4233,1.0,1.0626185958254268,0.5
drf,123,560,poisson,0.7306658235529385,0.6597850543986119,12.650181971339563,292998696124.03156,1.0,1.0666666666666667,0.5
drf,2024,560,poisson,0.7460617970292549,0.6513048784222858,11.263685746595911,305303244431.8449,1.0,1.0687022900763359,0.5
drf,21,800,poisson,0.6586929668490503,0.6997972433808499,7.832760835829458,354765195447.8983,1.0,1.5238095238095237,0.7
drf,42,800,poisson,0.682052671442752,0.6860722571979417,7.084344301186049,361372599955.86163,1.0,1.5296367112810707,0.7
drf,99,800,poisson,0.6541462308426854,0.7020397136868418,9.325061823044829,344633978590.9984,1.0,1.5325670498084292,0.7
drf,123,800,poisson,0.6620226415992249,0.6973796945019979,6.857934785481414,347562588427.9667,1.0,1.5267175572519085,0.7
drf,2024,800,poisson,0.6710885854116544,0.6924060559532534,9.739000002648229,353372261619.20575,1.0,1.5267175572519085,0.7
drf,21,1020,poisson,0.5431003101945093,0.7700940663536453,6.379676297555951,336591514020.5486,1.0,1.9540229885057472,0.85
drf,42,1020,poisson,0.5649202311018627,0.7562022541598709,5.332550028167496,361195932917.8308,1.0,1.9540229885057472,0.85
drf,99,1020,poisson,0.5525232070783358,0.7651429426817018,6.029117639941445,357358725379.1056,1.0,1.9577735124760076,0.85
drf,123,1020,poisson,0.5760006451129194,0.7506488026657443,5.49107793942607,362261472943.10956,1.0,1.9465648854961832,0.85
drf,2024,1020,poisson,0.5475623624858783,0.7677280964863551,4.332793972543014,339983947159.56464,1.0,1.9502868068833652,0.85
drf,21,1100,poisson,0.48846730989798,0.802475768527172,4.677486808995955,316449496232.59454,1.0,2.0952380952380953,0.95
drf,42,1100,poisson,0.5059366555088683,0.7919569636053065,4.372999598137104,313935963432.97064,1.0,2.099236641221374,0.95
drf,99,1100,poisson,0.487960110352535,0.8038711874433117,3.8270471992380504,309232304450.7293,1.0,2.0872865275142316,0.95
drf,123,1100,poisson,0.51052983588809,0.7902143325970997,4.8548753601298955,332209554897.1614,1.0,2.091254752851711,0.95
drf,2024,1100,poisson,0.5101521785405874,0.7899952043373784,5.26638436497944,330737256833.71423,1.0,2.0952380952380953,0.95
p2c,21,320,poisson,1.121139034821725,0.47170262878739705,13.596886510004099,253791547886.55762,1.0,0.622568093385214,0.3
p2c,42,320,poisson,1.1343469599206832,0.46092472774416965,15.00790950325061,261638999882.11057,1.0,0.622568093385214,0.3
p2c,99,320,poisson,1.1045485529547816,0.47941850461961205,12.98346885410862,246172772681.47495,1.0,0.625,0.3
p2c,123,320,poisson,1.1482113551708197,0.45856679935099215,12.785364419408499,255005381375.23917,1.0,0.622568093385214,0.3
p2c,2024,320,poisson,1.124376085457108,0.4701854023918744,11.359453663458643,241064756153.92508,1.0,0.6153846153846154,0.3
p2c,21,560,poisson,0.9118402787839638,0.5621034122056672,15.521598433411901,382710577957.98584,1.0,1.0666666666666667,0.5
p2c,42,560,poisson,0.9042613660305765,0.564312823426318,15.572547638993978,382091042777.9288,1.0,1.0707456978967496,0.5
p2c,99,560,poisson,0.9043187336317295,0.564593755773695,11.883250577219094,374559079242.5384,1.0,1.0626185958254268,0.5
p2c,123,560,poisson,0.8936077406126034,0.570036482945635,12.79156396745969,393337654328.6268,1.0,1.0666666666666667,0.5
p2c,2024,560,poisson,0.9175690349945377,0.5586415956817589,18.06771168202742,393584772943.419,1.0,1.0687022900763359,0.5
p2c,21,800,poisson,0.7701695144882765,0.6350826409566139,14.239467165023113,459951728791.5365,1.0,1.5238095238095237,0.7
p2c,42,800,poisson,0.7876421243571499,0.6258457444702951,16.219329850518136,453625560759.9526,1.0,1.5296367112810707,0.7
p2c,99,800,poisson,0.7778311671088248,0.6303870711154419,13.52747966826514,471564406435.56665,1.0,1.5325670498084292,0.7
p2c,123,800,poisson,0.7627536284471981,0.6394809389883567,12.737988299583469,461647731033.07385,1.0,1.5267175572519085,0.7
p2c,2024,800,poisson,0.7944575073385343,0.6208052404359641,12.299439023467514,467459238433.60834,1.0,1.5267175572519085,0.7
p2c,21,1020,poisson,0.6496383749655362,0.7067704841245016,8.766510492274639,461695494236.42615,1.0,1.9540229885057472,0.85
p2c,42,1020,poisson,0.6466527947819461,0.7071771686398419,8.995017998080174,471197430286.63684,1.0,1.9540229885057472,0.85
p2c,99,1020,poisson,0.6280953213060712,0.7180758265695628,7.524231129076299,466950106353.40814,1.0,1.9577735124760076,0.85
