scheduler,seed,cards,tasks,arrival_mode,base_algo,phase_enabled,pair_base_scheduler,pair_phase_scheduler,bw_max,d_max,card_cv,median_card_cv,p95_card_cv,std_card_cv,card_jfi,card_lif,max_min_ratio,completion_rate,throughput,throughput_excl_cold,mean_cold_start,p99_delay,p99_delay_excl_cold,avg_delay,avg_delay_excl_cold,mean_start_offset,p95_start_offset,reject_rate_bw,avg_congestion_ratio,mean_congestion_wait_ticks,time_card_cv_demand_mean,time_card_lif_demand_mean,time_card_lif_served_mean
rr-phase,123,16,1600,poisson,RR,True,rr,rr-phase,900000.0,2,0.6907602516656584,0.6712337857802662,0.9244682796302187,0.1291807958026632,0.679423945839199,2.7520080752117995,36.616221289792904,0.856875,2.611428571428571,2.61369811583119,0.45587162654996355,15.0,15.0,6.116703136396791,5.660831509846827,0.45587162654996355,2.0,0.143125,0.0,0.0,0.7169200793717247,3.4976789817432383,3.4976789817432383
rr,99,16,1600,poisson,RR,False,rr,rr-phase,900000.0,2,0.8512066844243356,0.8395092556324102,1.0859034295592254,0.13093874066836436,0.5837253265876169,2.913508099443546,58.740126831711606,1.0,3.0476190476190474,3.0476190476190474,0.0,15.0,15.0,5.28,5.28,0.0,0.0,0.0,0.049463551736461345,0.7425,1.446370963372269,7.141637345654772,2.854695016767499
bestfit-phase,42,16,1600,poisson,BestFit,True,bestfit,bestfit-phase,900000.0,2,0.6127452733853908,0.6012076242639004,0.8498105900642217,0.1359244951000495,0.7278332019127197,2.6058513116196296,30.91468944517725,0.848125,2.5896946564885495,2.591144975867843,0.2932940309506264,15.0,15.0,5.981577008106116,5.68828297715549,0.2932940309506264,2.0,0.151875,0.0,0.0,0.6579254334464555,3.788481188263909,3.788481188263909
rr,21,16,1600,poisson,RR,False,rr,rr-phase,900000.0,2,0.8644703588854397,0.8389742029719975,1.1827414405154961,0.16216152733208705,0.5783064700873563,2.9517346465356953,59.165366814217414,1.0,3.0476190476190474,3.0476190476190474,0.0,15.0,15.0,5.28,5.28,0.0,0.0,0.0,0.04890656711062509,0.74375,1.4561656568297825,7.212599867974904,2.874928325047119
bestfit-phase,123,16,1600,poisson,BestFit,True,bestfit,bestfit-phase,900000.0,2,0.6032812288658748,0.6056889830497939,0.8294694822171953,0.13491419578943087,0.7335959045381278,2.615686301679795,30.442817845448005,0.845,2.5752380952380953,2.5767083218799116,0.2995562130177515,15.490000000000009,15.0,5.997781065088757,5.6982248520710055,0.2995562130177515,2.0,0.155,0.0,0.0,0.6435027946817395,3.809460880582493,3.809460880582493
rr,42,16,1600,poisson,RR,False,rr,rr-phase,900000.0,2,0.8622722882391542,0.8459649684381886,1.175414752489641,0.14748029652971065,0.578515753822079,2.9485734935649583,57.943195045080856,1.0,3.053435114503817,3.053435114503817,0.0,15.0,15.0,5.28,5.28,0.0,0.0,0.0,0.048811706993346804,0.745625,1.4577305817502362,7.231477262411669,2.8830890522747024
bestfit-phase,21,16,1600,poisson,BestFit,True,bestfit,bestfit-phase,900000.0,2,0.6128630126484514,0.6031066990111326,0.8484410136416835,0.13661452460947376,0.7279876605582913,2.61144637202915,31.510012135550813,0.84375,2.5714285714285716,2.5727898358920065,0.2777777777777778,15.0,15.0,5.98,5.702222222222222,0.2777777777777778,2.0,0.15625,0.0,0.0,0.6541429021469172,3.8485360777020325,3.8485360777020325
rr-phase,2024,16,1600,poisson,RR,True,rr,rr-phase,900000.0,2,0.698694079325014,0.6831303195510979,0.93763351310163,0.13481424121103888,0.674735123056568,2.7712804128423008,35.90900776350405,0.856875,2.611428571428571,2.613676309451635,0.45149525893508385,15.0,15.0,6.112326768781911,5.660831509846827,0.45149525893508385,2.0,0.143125,0.0,0.0,0.7216977945364511,3.528161389697939,3.528161389697939
bestfit,42,16,1600,poisson,BestFit,False,bestfit,bestfit-phase,900000.0,2,0.7892371553522669,0.7802675651368884,1.0387707125411147,0.14096961501409422,0.6199217673250252,2.9336499497064996,41.070073533256625,1.0,3.053435114503817,3.053435114503817,0.0,15.0,15.0,5.28,5.28,0.0,0.0,0.0,0.037193400134772014,0.595,1.3051416143133117,6.820514406115317,2.910926060267907
rr,2024,16,1600,poisson,RR,False,rr,rr-phase,900000.0,2,0.868755783724496,0.8485346918227156,1.1660769565161422,0.13964085862484932,0.5743699801287792,2.9589275904356223,57.96730169333732,1.0,3.0476190476190474,3.0476190476190474,0.0,15.0,15.0,5.28,5.28,0.0,0.0,0.0,0.04802801355562456,0.739375,1.459751439090617,7.1106909864476995,2.908607672187782
drf,2024,16,1600,poisson,DRF,False,drf,drf-phase,900000.0,2,0.7976167449045841,0.7878802117071352,1.038045980490244,0.13189103287073023,0.6146209883342778,2.9634842144633096,43.06153334625317,1.0,3.0476190476190474,3.0476190476190474,0.0,15.0,15.0,5.28,5.28,0.0,0.0,0.0,0.037649126658747034,0.605625,1.319813846479812,6.854871274747564,2.963793334411557
drf-phase,99,16,1600,poisson,DRF,True,drf,drf-phase,900000.0,2,0.6093278037835231,0.6067446518833439,0.8481656517770017,0.13232334970903462,0.7299107111451704,2.6066500200749245,30.319334187937912,0.845625,2.577142857142857,2.5785150159096384,0.2793791574279379,15.0,15.0,5.975609756097561,5.696230598669623,0.2793791574279379,2.0,0.154375,0.0,0.0,0.6480690598884327,3.7560198787117405,3.7560198787117405
drf,123,16,1600,poisson,DRF,False,drf,drf-phase,900000.0,2,0.7936597520454084,0.7857366591157249,1.0234753420552856,0.1327521871324615,0.6168634556856127,2.957332657280573,41.59880104673087,1.0,3.0476190476190474,3.0476190476190474,0.0,15.0,15.0,5.28,5.28,0.0,0.0,0.0,0.03757209794067873,0.613125,1.3194355398319348,6.936906598077103,2.9650234165759475
rr,123,16,1600,poisson,RR,False,rr,rr-phase,900000.0,2,0.8689116834444296,0.8548862770423659,1.1230789309041942,0.13787559146513356,0.5741740983260405,2.961752616306273,59.13832929185786,1.0,3.0476190476190474,3.0476190476190474,0.0,15.0,15.0,5.28,5.28,0.0,0.0,0.0,0.048216311363304266,0.74375,1.462710839278046,7.3208899746082015,2.912318348269009
