scheduler,seed,cards,arrival_mode,base_algo,phase_enabled,card_id,kind,mean_load,max_load,std_load,time_cv,time_lif,time_jfi,mean_cong_ratio,max_cong_ratio,completed_tasks,throughput
rr-phase,21,16,poisson,RR,True,0,served,218492.50709668215,760000.0,142990.2944621601,0.6544402659945103,3.4783801517902977,0.7001369165150186,0.0,0.0,85,0.2141057934508816
rr-phase,21,16,poisson,RR,True,1,served,219586.42582306755,760000.0,137285.32958571642,0.6251995271161912,3.461051825727936,0.7189721552007285,0.0,0.0,86,0.21662468513853905
rr-phase,21,16,poisson,RR,True,2,served,221112.1541763421,760000.0,131391.26466743535,0.5942290470502483,3.437169715211052,0.7390392204384032,0.0,0.0,85,0.2141057934508816
rr-phase,21,16,poisson,RR,True,3,served,219816.724626594,760000.0,134316.69430450373,0.6110394672319386,3.4574257317818904,0.7281363072514325,0.0,0.0,86,0.21662468513853905
rr-phase,21,16,poisson,RR,True,4,served,219122.2021533572,760000.0,129374.91062035538,0.5904235597714999,3.468384273849613,0.7415097248106857,0.0,0.0,86,0.21662468513853905
rr-phase,21,16,poisson,RR,True,5,served,222516.1029449386,760000.0,134811.84410151842,0.6058520813429735,3.4154831490467963,0.7314985307281009,0.0,0.0,86,0.21662468513853905
rr-phase,21,16,poisson,RR,True,6,served,221984.50619145544,760000.0,132429.04726048792,0.5965688756055414,3.423662367429019,0.7375205493771059,0.0,0.0,86,0.21662468513853905
rr-phase,21,16,poisson,RR,True,7,served,220493.02102684195,760000.0,141713.23753016494,0.6427107618653987,3.4468211123447787,0.7076754576434212,0.0,0.0,85,0.2141057934508816
rr-phase,21,16,poisson,RR,True,8,served,219147.41893547308,760000.0,131108.75147238493,0.5982673768610037,3.4679851749647046,0.736418317488976,0.0,0.0,86,0.21662468513853905
rr-phase,21,16,poisson,RR,True,9,served,219751.95278308014,760000.0,132048.3440084683,0.6008972495403253,3.4584448073151157,0.7347120180078124,0.0,0.0,85,0.2141057934508816
rr-phase,21,16,poisson,RR,True,10,served,220758.31030826905,760000.0,139883.56276787046,0.6336502692584288,3.4426790046486975,0.7135147800503472,0.0,0.0,86,0.21662468513853905
rr-phase,21,16,poisson,RR,True,11,served,219351.04602143026,760000.0,132243.2059279805,0.6028838627697292,3.4647657888339825,0.7334233746517254,0.0,0.0,86,0.21662468513853905
rr-phase,21,16,poisson,RR,True,12,served,219127.24855606502,760000.0,132859.77617606978,0.6063133501266813,3.4683043985082005,0.7311994659393733,0.0,0.0,86,0.21662468513853905
rr-phase,21,16,poisson,RR,True,13,served,218568.96541689624,760000.0,128086.93626544903,0.5860252667671153,3.4771633683235112,0.7443657394259681,0.0,0.0,86,0.21662468513853905
rr-phase,21,16,poisson,RR,True,14,served,221824.4352664515,760000.0,133980.92954847735,0.6039953596074386,3.4261329194283836,0.7327025087756639,0.0,0.0,85,0.2141057934508816
rr-phase,21,16,poisson,RR,True,15,served,221077.70526261412,760000.0,132743.69142256235,0.600439068538723,3.437705304102058,0.7350092610098756,0.0,0.0,86,0.21662468513853905
rr-phase,21,16,poisson,RR,True,0,demand,218492.50709668215,760000.0,142990.2944621601,0.6544402659945103,3.4783801517902977,0.7001369165150186,0.0,0.0,85,0.2141057934508816
rr-phase,21,16,poisson,RR,True,1,demand,219586.42582306755,760000.0,137285.32958571642,0.6251995271161912,3.461051825727936,0.7189721552007285,0.0,0.0,86,0.21662468513853905
rr-phase,21,16,poisson,RR,True,2,demand,221112.1541763421,760000.0,131391.26466743535,0.5942290470502483,3.437169715211052,0.7390392204384032,0.0,0.0,85,0.2141057934508816
rr-phase,21,16,poisson,RR,True,3,demand,219816.724626594,760000.0,134316.69430450373,0.6110394672319386,3.4574257317818904,0.7281363072514325,0.0,0.0,86,0.21662468513853905
rr-phase,21,16,poisson,RR,True,4,demand,219122.2021533572,760000.0,129374.91062035538,0.5904235597714999,3.468384273849613,0.7415097248106857,0.0,0.0,86,0.21662468513853905
rr-phase,21,16,poisson,RR,True,5,demand,222516.1029449386,760000.0,134811.84410151842,0.6058520813429735,3.4154831490467963,0.7314985307281009,0.0,0.0,86,0.21662468513853905
rr-phase,21,16,poisson,RR,True,6,demand,221984.50619145544,760000.0,132429.04726048792,0.5965688756055414,3.423662367429019,0.7375205493771059,0.0,0.0,86,0.21662468513853905
rr-phase,21,16,poisson,RR,True,7,demand,220493.02102684195,760000.0,141713.23753016494,0.6427107618653987,3.4468211123447787,0.7076754576434212,0.0,0.0,85,0.2141057934508816
rr-phase,21,16,poisson,RR,True,8,demand,219147.41893547308,760000.0,131108.75147238493,0.5982673768610037,3.4679851749647046,0.736418317488976,0.0,0.0,86,0.21662468513853905
rr-phase,21,16,poisson,RR,True,9,demand,219751.95278308014,760000.0,132048.3440084683,0.6008972495403253,3.4584448073151157,0.7347120180078124,0.0,0.0,85,0.2141057934508816
rr-phase,21,16,poisson,RR,True,10,demand,220758.31030826905,760000.0,139883.56276787046,0.6336502692584288,3.4426790046486975,0.7135147800503472,0.0,0.0,86,0.21662468513853905
rr-phase,21,16,poisson,RR,True,11,demand,219351.04602143026,760000.0,132243.2059279805,0.6028838627697292,3.4647657888339825,0.7334233746517254,0.0,0.0,86,0.21662468513853905
rr-phase,21,16,poisson,RR,True,12,demand,219127.24855606502,760000.0,132859.77617606978,0.6063133501266813,3.4683043985082005,0.7311994659393733,0.0,0.0,86,0.21662468513853905
rr-phase,21,16,poisson,RR,True,13,demand,218568.96541689624,760000.0,128086.93626544903,0.5860252667671153,3.4771633683235112,0.7443657394259681,0.0,0.0,86,0.21662468513853905
rr-phase,21,16,poisson,RR,True,14,demand,221824.4352664515,760000.0,133980.92954847735,0.6039953596074386,3.4261329194283836,0.7327025087756639,0.0,0.0,85,0.2141057934508816
rr-phase,21,16,poisson,RR,True,15,demand,221077.70526261412,760000.0,132743.69142256235,0.600439068538723,3.437705304102058,0.7350092610098756,0.0,0.0,86,0.21662468513853905
rr-phase,2024,16,poisson,RR,True,0,served,216712.49046068167,760000.0,132367.44401242377,0.610797484404524,3.506950607158877,0.7282930966457455,0.0,0.0,85,0.2141057934508816
rr-phase,2024,16,poisson,RR,True,1,served,219140.2746502086,760000.0,131704.77350539947,0.6010067009162348,3.468098236223857,0.734641013928142,0.0,0.0,86,0.21662468513853905
rr-phase,2024,16,poisson,RR,True,2,served,218072.69185394363,760000.0,135252.2036942036,0.6202161423530743,3.485076437305674,0.7221947458392755,0.0,0.0,85,0.2141057934508816
