cards,arrival_mode,base_algo,phase_enabled,scheduler,card_id,kind,n,mean_load_mean,mean_load_ci95,max_load_mean,max_load_ci95,std_load_mean,std_load_ci95,time_cv_mean,time_cv_ci95,time_lif_mean,time_lif_ci95,time_jfi_mean,time_jfi_ci95,mean_cong_ratio_mean,mean_cong_ratio_ci95,max_cong_ratio_mean,max_cong_ratio_ci95,completed_tasks_mean,completed_tasks_ci95,throughput_mean,throughput_ci95
4,poisson,RR,False,rr,0,served,5,310089.5845331644,3823.906595583,900000.0,0.0,286432.6246718753,2345.2266678933643,0.9238609128388471,0.014014485487426748,2.9028480651105637,0.0359036384895205,0.5395644237811302,0.007531831475543883,0.05562449141866008,0.0017967658820296918,0.6362985200376693,0.03827003910711168,100.0,0.0,0.2542018426625691,0.0013671039108615296
4,poisson,RR,False,rr,1,served,5,308356.7876803532,1873.565841096433,900000.0,0.0,284962.65756076557,4371.49726954282,0.9241176216104403,0.011885151443781316,2.9188093452983623,0.01777400000731703,0.5394122905402331,0.006392347642832732,0.05497691249238307,0.0007555084742338005,0.6168733056687549,0.0007583006909445097,100.0,0.0,0.2542018426625691,0.0013671039108615296
4,poisson,RR,False,rr,2,served,5,308943.7818769325,2689.6848455023173,900000.0,0.0,287149.20561168727,4495.034026396218,0.9295496071550142,0.017699904183917335,2.9133820949219125,0.025452759972318856,0.5365427937927137,0.009494105445090195,0.05535286559272768,0.0009637654388165516,0.6279853952297436,0.012872922765156187,100.0,0.0,0.2542018426625691,0.0013671039108615296
4,poisson,RR,False,rr,3,served,5,309644.2806052961,3651.7393965042074,900000.0,0.0,288807.66856441495,3954.8506795747808,0.9327941225471895,0.014110303442436615,2.906985266410513,0.034549063233797,0.5347804553558121,0.007501137799091086,0.0553532552874188,0.002157325363142039,0.6333479959564257,0.012872922765156187,100.0,0.0,0.2542018426625691,0.0013671039108615296
4,poisson,RR,False,rr,0,demand,5,310118.02344941196,3701.7847801599282,2346736.9375,5677.182376848571,477559.9459838789,4794.066162946841,1.539997100932087,0.009928046359607904,7.568347737548182,0.09099476718784816,0.29661228645754417,0.0026992271607144593,0.05562449141866008,0.0017967658820296918,0.6362985200376693,0.03827003910711168,100.0,0.0,0.2542018426625691,0.0013671039108615296
4,poisson,RR,False,rr,1,demand,5,308336.37952505983,1867.8448859306588,2349101.9375,4635.4,474968.74476523104,4849.807951032848,1.5404419042983837,0.014546549798069583,7.61893827519729,0.050560112780338076,0.29651043281467776,0.003925341366356578,0.05497691249238307,0.0007555084742338005,0.6168733056687549,0.0007583006909445097,100.0,0.0,0.2542018426625691,0.0013671039108615296
4,poisson,RR,False,rr,2,demand,5,308943.7818769325,2689.6848455023173,2422324.08125,85046.2849410837,480387.9030394568,6823.8436546541325,1.555082911409565,0.027160034894947213,7.8418652447312995,0.2990539960093746,0.29266506216065136,0.0072507584426825126,0.05535286559272768,0.0009637654388165516,0.6279853952297436,0.012872922765156187,100.0,0.0,0.2542018426625691,0.0013671039108615296
4,poisson,RR,False,rr,3,demand,5,309290.6428585215,5219.638592535641,2457752.653125,85046.2849410837,477198.35217936983,9037.188016529333,1.5428581276029036,0.010361923344465226,7.945959496823855,0.22491718405694366,0.2958398573922157,0.002817285951706619,0.0553532552874188,0.002157325363142039,0.6333479959564257,0.012872922765156187,100.0,0.0,0.2542018426625691,0.0013671039108615296
4,poisson,RR,True,rr-phase,0,served,5,207366.48483212374,4206.564003192848,760000.0,0.0,143286.71567396238,6208.72740880867,0.6908664912144116,0.023192790003624862,3.6665896386880137,0.07485393501025722,0.6769903036750429,0.014613124451275605,0.0,0.0,0.0,0.0,78.0,1.2396128427860047,0.19828006019839214,0.003471319120684142
4,poisson,RR,True,rr-phase,1,served,5,207466.25509642417,3191.793236954236,760000.0,0.0,143690.0324150136,7345.110721756611,0.6922346059135249,0.025528778884763823,3.664145318086772,0.05612571390588006,0.6761374293185566,0.01614793499930294,0.0,0.0,0.0,0.0,77.8,0.7333648478076925,0.19775946318740126,0.0009816409386902106
4,poisson,RR,True,rr-phase,2,served,5,206062.89284263673,3450.9451630590097,760000.0,0.0,141075.6961971623,6121.143353046914,0.6845397060191116,0.02492841148165602,3.689282559741,0.062413132291051124,0.6810063953399147,0.015803189473059417,0.0,0.0,0.0,0.0,76.2,2.5100247010736765,0.193690766294561,0.00610535737051876
4,poisson,RR,True,rr-phase,3,served,5,206989.4639450392,3107.7978672780337,760000.0,0.0,142167.3368455304,6716.719912876673,0.6867317759511443,0.028936187739653854,3.6725409738514707,0.05478894440287073,0.6796368017032444,0.018443019236848584,0.0,0.0,0.0,0.0,77.0,0.8765386471799175,0.1957419037586743,0.0029173933940760672
4,poisson,RR,True,rr-phase,0,demand,5,207366.48483212374,4206.564003192848,760000.0,0.0,143286.71567396238,6208.72740880867,0.6908664912144116,0.023192790003624862,3.6665896386880137,0.07485393501025722,0.6769903036750429,0.014613124451275605,0.0,0.0,0.0,0.0,78.0,1.2396128427860047,0.19828006019839214,0.003471319120684142
4,poisson,RR,True,rr-phase,1,demand,5,207466.25509642417,3191.793236954236,760000.0,0.0,143690.0324150136,7345.110721756611,0.6922346059135249,0.025528778884763823,3.664145318086772,0.05612571390588006,0.6761374293185566,0.01614793499930294,0.0,0.0,0.0,0.0,77.8,0.7333648478076925,0.19775946318740126,0.0009816409386902106
4,poisson,RR,True,rr-phase,2,demand,5,206062.89284263673,3450.9451630590097,760000.0,0.0,141075.6961971623,6121.143353046914,0.6845397060191116,0.02492841148165602,3.689282559741,0.062413132291051124,0.6810063953399147,0.015803189473059417,0.0,0.0,0.0,0.0,76.2,2.5100247010736765,0.193690766294561,0.00610535737051876
4,poisson,RR,True,rr-phase,3,demand,5,206989.4639450392,3107.7978672780337,760000.0,0.0,142167.3368455304,6716.719912876673,0.6867317759511443,0.028936187739653854,3.6725409738514707,0.05478894440287073,0.6796368017032444,0.018443019236848584,0.0,0.0,0.0,0.0,77.0,0.8765386471799175,0.1957419037586743,0.0029173933940760672
4,poisson,BestFit,False,bestfit,0,served,5,319203.7554837242,20813.679273738104,900000.0,0.0,224433.41385384157,24504.10896106394,0.7011048519367568,0.03337191264477624,2.832421116801574,0.19051586204840715,0.6706120308853943,0.02098545455096866,0.01947518998516717,0.011525417391077335,0.49896849915250874,0.22754162003622425,114.0,3.50615458871967,0.2898289435826268,0.010171683749966668
4,poisson,BestFit,False,bestfit,1,served,5,337289.64930897194,22604.745940620818,900000.0,0.0,269641.3493406352,13845.89037630617,0.8006108400685026,0.02529347144695822,2.680572100128084,0.17552709506904135,0.6095337410711763,0.01493152142322615,0.049483761756529195,0.010578418382130387,0.5999693742662002,0.022902770563362606,103.6,4.7446576272688,0.2633068024666688,0.01112729308333455
4,poisson,BestFit,False,bestfit,2,served,5,315013.2661269929,12608.149270988675,900000.0,0.0,285035.18979284394,8106.239558150856,0.9057420396928232,0.030588821763548484,2.8617516345315415,0.11361510999977818,0.5495749240016039,0.016733125452746703,0.054893208254639995,0.005281361886910569,0.6617304215396702,0.045093385377491066,96.8,1.5679999999999998,0.24607075694999433,0.004381450334127661
4,poisson,BestFit,False,bestfit,3,served,5,288570.31865781744,16462.50442777411,900000.0,0.0,293405.2428392534,13342.587032464551,1.0178191499169797,0.028084613645809074,3.129522566849621,0.18047103066439765,0.4913746259666832,0.013658209719872562,0.04958074246159403,0.007673637378082247,0.6084315319961562,0.05219388716829582,85.6,2.0179435076334515,0.21760086765098652,0.005407695912414284
