scheduler,seed,cards,arrival_mode,base_algo,phase_enabled,card_id,kind,mean_load,max_load,std_load,time_cv,time_lif,time_jfi,mean_cong_ratio,max_cong_ratio,completed_tasks,throughput
bestfit-phase,42,4,poisson,BestFit,True,0,served,418514.9678498856,876666.578125,162785.02141366634,0.3889586607857109,2.0947078252155746,0.8685917603210093,0.0,0.0,153,0.38636363636363635
bestfit-phase,42,4,poisson,BestFit,True,1,served,400256.0600413313,867926.0,162683.96469710604,0.4064497229106461,2.1684268813078713,0.8582207500960506,0.0,0.0,150,0.3787878787878788
bestfit-phase,42,4,poisson,BestFit,True,2,served,382163.62379162724,881177.0,169495.10919989579,0.44351450176825863,2.3057584373348345,0.8356277489783496,0.0,0.0,153,0.38636363636363635
bestfit-phase,42,4,poisson,BestFit,True,3,served,376359.95844184025,876666.578125,169051.661423857,0.44917547053555895,2.329330095992327,0.8321138681498607,0.0,0.0,139,0.351010101010101
bestfit-phase,42,4,poisson,BestFit,True,0,demand,418514.9678498856,876666.578125,162785.02141366634,0.3889586607857109,2.0947078252155746,0.8685917603210093,0.0,0.0,153,0.38636363636363635
bestfit-phase,42,4,poisson,BestFit,True,1,demand,400256.0600413313,867926.0,162683.96469710604,0.4064497229106461,2.1684268813078713,0.8582207500960506,0.0,0.0,150,0.3787878787878788
bestfit-phase,42,4,poisson,BestFit,True,2,demand,382163.62379162724,881177.0,169495.10919989579,0.44351450176825863,2.3057584373348345,0.8356277489783496,0.0,0.0,153,0.38636363636363635
bestfit-phase,42,4,poisson,BestFit,True,3,demand,376359.95844184025,876666.578125,169051.661423857,0.44917547053555895,2.329330095992327,0.8321138681498607,0.0,0.0,139,0.351010101010101
drf-phase,2024,4,poisson,DRF,True,0,served,403347.5720276186,881177.0,170079.75070046238,0.4216704462741043,2.1846592395990987,0.8490362839845184,0.0,0.0,162,0.40703517587939697
drf-phase,2024,4,poisson,DRF,True,1,served,388424.52521396044,881177.0,170466.20638687818,0.43886571346898934,2.2685925908375917,0.8385019189338,0.0,0.0,147,0.3693467336683417
drf-phase,2024,4,poisson,DRF,True,2,served,413762.41192780307,876666.578125,153446.7496773969,0.3708571519642332,2.118768048650027,0.8790938090882086,0.0,0.0,153,0.3844221105527638
drf-phase,2024,4,poisson,DRF,True,3,served,372973.42431395256,876666.578125,177759.68282861804,0.47660147142008646,2.3504800100370176,0.8148969933642236,0.0,0.0,146,0.36683417085427134
drf-phase,2024,4,poisson,DRF,True,0,demand,403347.5720276186,881177.0,170079.75070046238,0.4216704462741043,2.1846592395990987,0.8490362839845184,0.0,0.0,162,0.40703517587939697
drf-phase,2024,4,poisson,DRF,True,1,demand,388424.52521396044,881177.0,170466.20638687818,0.43886571346898934,2.2685925908375917,0.8385019189338,0.0,0.0,147,0.3693467336683417
drf-phase,2024,4,poisson,DRF,True,2,demand,413762.41192780307,876666.578125,153446.7496773969,0.3708571519642332,2.118768048650027,0.8790938090882086,0.0,0.0,153,0.3844221105527638
drf-phase,2024,4,poisson,DRF,True,3,demand,372973.42431395256,876666.578125,177759.68282861804,0.47660147142008646,2.3504800100370176,0.8148969933642236,0.0,0.0,146,0.36683417085427134
bestfit-phase,99,4,poisson,BestFit,True,0,served,409217.90934286,867926.0,169487.64713322694,0.4141745589908262,2.1209384540225855,0.8535769307577615,0.0,0.0,158,0.4
bestfit-phase,99,4,poisson,BestFit,True,1,served,390705.31610215583,876666.578125,179251.73910281766,0.4587901206236712,2.243805092981592,0.8261128490227669,0.0,0.0,160,0.4050632911392405
bestfit-phase,99,4,poisson,BestFit,True,2,served,413490.1463385087,876666.578125,169990.23735840817,0.4111107335052275,2.120163166856475,0.8554231863200387,0.0,0.0,144,0.36455696202531646
bestfit-phase,99,4,poisson,BestFit,True,3,served,382553.70843304985,879159.921875,150365.06514654527,0.3930560907707432,2.2981346213478426,0.8661810176567253,0.0,0.0,143,0.3620253164556962
bestfit-phase,99,4,poisson,BestFit,True,0,demand,409217.90934286,867926.0,169487.64713322694,0.4141745589908262,2.1209384540225855,0.8535769307577615,0.0,0.0,158,0.4
