cards,arrival_mode,base_algo,phase_enabled,scheduler,n,card_cv_mean,card_cv_ci95,median_card_cv_mean,median_card_cv_ci95,p95_card_cv_mean,p95_card_cv_ci95,std_card_cv_mean,std_card_cv_ci95,card_jfi_mean,card_jfi_ci95,card_lif_mean,card_lif_ci95,max_min_ratio_mean,max_min_ratio_ci95,completion_rate_mean,completion_rate_ci95,throughput_mean,throughput_ci95,throughput_excl_cold_mean,throughput_excl_cold_ci95,mean_cold_start_mean,mean_cold_start_ci95,p99_delay_mean,p99_delay_ci95,p99_delay_excl_cold_mean,p99_delay_excl_cold_ci95,avg_delay_mean,avg_delay_ci95,avg_delay_excl_cold_mean,avg_delay_excl_cold_ci95,mean_start_offset_mean,mean_start_offset_ci95,p95_start_offset_mean,p95_start_offset_ci95,reject_rate_bw_mean,reject_rate_bw_ci95,avg_congestion_ratio_mean,avg_congestion_ratio_ci95,mean_congestion_wait_ticks_mean,mean_congestion_wait_ticks_ci95,time_card_cv_demand_mean_mean,time_card_cv_demand_mean_ci95,time_card_lif_demand_mean_mean,time_card_lif_demand_mean_ci95,time_card_lif_served_mean_mean,time_card_lif_served_mean_ci95
4,poisson,RR,False,rr,5,0.4490733056338629,0.009054864240576596,0.4434576515585403,0.013071766592242063,0.7442162687673324,0.024505885112303092,0.18836996204885237,0.009683115501725648,0.8241425686274648,0.00524402567562679,1.5687229792472188,0.016351329029397697,4.270975687348422,0.16140494619890702,1.0,0.0,1.5278896798805681,0.0029178773715911434,1.5278896798805681,0.0029178773715911434,0.0,0.0,15.0,0.0,15.0,0.0,5.28575,0.0031566041880475683,5.28575,0.0031566041880475683,0.0,0.0,0.0,0.0,0.0,0.0,0.1325589906699785,0.0019787497834081406,1.42275,0.0250140080754764,1.0841726376265148,0.005560975858710195,4.452805935922094,0.07578030036049442,1.5663056184636226,0.01821406189399142
4,poisson,RR,True,rr-phase,5,0.357160245217366,0.030283974948520434,0.3484391512074539,0.034412713247380364,0.6144563246746539,0.04862255910061506,0.14878296513315215,0.01273004350468678,0.8779274152307743,0.016804614740389374,1.4773460292482268,0.04147737479197197,4.197056223976464,0.8548710318698768,0.7805,0.012215651845071543,1.1666379188531406,0.015433686779515749,1.1837971950672848,0.015605532165230217,7.757784761488284,0.17080145208221195,30.0,0.8765386471799175,15.0,0.0,13.679734968808823,0.18062362246600422,5.921950207320538,0.0457704030437073,7.757784761488284,0.17080145208221195,15.4,0.4800999895855029,0.2195,0.012215651845071547,0.0,0.0,0.0,0.0,0.4132768750305139,0.02790842159510228,1.9478710432235031,0.0505108422327932,1.9478710432235031,0.0505108422327932
4,poisson,BestFit,False,bestfit,5,0.3699099868777451,0.008601677845351954,0.35043499225005725,0.004735302745947638,0.6785228367747128,0.027742276868176808,0.17535626794215986,0.00967931856835604,0.8687739329162547,0.00496328361784697,1.4887291872185062,0.015520923149362108,4.334983591068892,0.59563648265032,1.0,0.0,1.5278896798805681,0.0029178773715911434,1.5278896798805681,0.0029178773715911434,0.0,0.0,15.0,0.0,15.0,0.0,5.3135,0.0058697827898484345,5.3135,0.0058697827898484345,0.0,0.0,0.0,0.0,0.0,0.0,0.1093165336902308,0.0028677994534364705,1.05925,0.0429316625580701,0.9419782587641173,0.01916677739281566,4.208492308607492,0.1444699777519479,1.5386874128188828,0.01633824654455572
4,poisson,BestFit,True,bestfit-phase,5,0.3224650316597731,0.01062731949025301,0.30679644705837533,0.010002826293706135,0.5973152618811538,0.011612800166624018,0.14599688063799787,0.0045515225983418705,0.8959777843422199,0.005153065020214662,1.4192932893178953,0.01289274142212731,4.520558776192264,0.31868579678450837,0.82225,0.002107569690425434,1.233282721996852,0.007920763980063035,1.2475839046176314,0.00811066825332995,6.113593465089747,0.12618563624635426,29.776,0.48351257439697,15.0,0.0,11.875532793228405,0.12777771106751953,5.761939328138658,0.013567200105878132,6.113593465089747,0.12618563624635426,14.8,0.39199999999999996,0.17775,0.002107569690425445,0.0,0.0,0.0,0.0,0.3961027339838214,0.011121124694170878,1.8261118048081064,0.023135656314905717,1.8261118048081064,0.023135656314905717
4,poisson,DRF,False,drf,5,0.3699099868777451,0.008601677845351954,0.35043499225005725,0.004735302745947638,0.6785228367747128,0.027742276868176808,0.17535626794215986,0.00967931856835604,0.8687739329162547,0.00496328361784697,1.4887291872185062,0.015520923149362108,4.334983591068892,0.59563648265032,1.0,0.0,1.5278896798805681,0.0029178773715911434,1.5278896798805681,0.0029178773715911434,0.0,0.0,15.0,0.0,15.0,0.0,5.3135,0.0058697827898484345,5.3135,0.0058697827898484345,0.0,0.0,0.0,0.0,0.0,0.0,0.1093165336902308,0.0028677994534364705,1.05925,0.0429316625580701,0.9419782587641173,0.01916677739281566,4.208492308607492,0.1444699777519479,1.5386874128188828,0.01633824654455572
4,poisson,DRF,True,drf-phase,5,0.3224650316597731,0.01062731949025301,0.30679644705837533,0.010002826293706135,0.5973152618811538,0.011612800166624018,0.14599688063799787,0.0045515225983418705,0.8959777843422199,0.005153065020214662,1.4192932893178953,0.01289274142212731,4.520558776192264,0.31868579678450837,0.82225,0.002107569690425434,1.233282721996852,0.007920763980063035,1.2475839046176314,0.00811066825332995,6.113593465089747,0.12618563624635426,29.776,0.48351257439697,15.0,0.0,11.875532793228405,0.12777771106751953,5.761939328138658,0.013567200105878132,6.113593465089747,0.12618563624635426,14.8,0.39199999999999996,0.17775,0.002107569690425445,0.0,0.0,0.0,0.0,0.3961027339838214,0.011121124694170878,1.8261118048081064,0.023135656314905717,1.8261118048081064,0.023135656314905717
4,poisson,P2C,False,p2c,5,0.48527178351904815,0.01885850378573715,0.4806533144627395,0.01563368729063614,0.8574614300111643,0.03440728510607531,0.2225916360646107,0.010811383599036611,0.8008965414644192,0.011186984114293407,1.578129493742573,0.020484127162948108,5.93192852435455,0.760112772194116,1.0,0.0,1.5278896798805681,0.0029178773715911434,1.5278896798805681,0.0029178773715911434,0.0,0.0,15.0,0.0,15.0,0.0,5.28225,0.00195999999999998,5.28225,0.00195999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.12991056840337478,0.0023057754124141305,1.4849999999999999,0.033079536725897515,1.0922233341280232,0.014434563529813194,4.98595026816229,0.07665467951877895,1.5707582149099457,0.015743634947435792
4,poisson,P2C,True,p2c-phase,5,0.3959259732856343,0.012995581197609789,0.38411431391277956,0.01150888949545955,0.6668003409406387,0.016972148606973887,0.15859962366181507,0.005931373460219735,0.8565662990437745,0.007555486332587923,1.5065213960371886,0.01595861245518956,5.577238562877978,0.3414195295412372,0.8075,0.005586859582985752,1.2074996692401643,0.009487623807874348,1.2231406628556356,0.009602330334067552,6.841127693082529,0.14470149558926432,30.2,0.39199999999999996,15.0,0.0,12.642436880179055,0.15608257421850677,5.8013091870965265,0.013816602988839593,6.841127693082529,0.14470149558926432,15.2,0.39199999999999996,0.1925,0.005586859582985781,0.0,0.0,0.0,0.0,0.45525499217761156,0.015107476243448907,1.9537261077151131,0.05012839350875937,1.9537261077151131,0.05012839350875937
4,poisson,STPS-spatial,False,stps-spatial,5,0.37439968345246205,0.0067954037045045365,0.3580676199924605,0.0034235423817994054,0.6818014989615299,0.01902563842111319,0.17494158106014188,0.009522578204494933,0.8662140485173412,0.0034044004001202483,1.49629324184581,0.015503561904385397,3.8247554863766196,0.28110743405048866,1.0,0.0,1.5278896798805681,0.0029178773715911434,1.5278896798805681,0.0029178773715911434,0.0,0.0,15.0,0.0,15.0,0.0,5.3075,0.007551407153636765,5.3075,0.007551407153636765,0.0,0.0,0.0,0.0,0.0,0.0,0.11190123578010376,0.0009801650857887835,1.088,0.03763442440107196,0.9528527413740342,0.01679648166911966,4.425704218293291,0.08344409126416151,1.5388864248393326,0.014218107082745691
4,poisson,STPS-spatial,True,stps,5,0.42833365336842455,0.008396117697111608,0.4273114157975912,0.013273194070434886,0.7560101457452677,0.029700157118883824,0.1860437916848732,0.007991763818992234,0.8363276535798536,0.004529769935906123,1.510797868780307,0.014715846063932942,6.665810988078119,0.5883908635469169,1.0,0.0,1.4685485075510025,0.013005443963783746,1.485822292950423,0.013300575529548747,6.33275,0.17104158734062297,81.80799999999999,12.315105028476202,74.804,13.421695321590331,18.41375,1.8898727350670999,12.081,1.9334833436960353,6.33275,0.17104158734062297,15.60999999999999,0.46835388329767247,0.0,0.0,0.06776587130497577,0.004385185767864111,0.78325,0.07590098418334246,0.8148492797137228,0.03455509573399249,3.110797588725393,0.2537656280262591,1.5812693780017488,0.02532175361794957
4,bursty,RR,False,rr,5,0.4737802194895422,0.01743920363923258,0.4343348618003558,0.025189725409790996,1.0884524955746548,0.03519341201305933,0.3362921197667152,0.02184136586454108,0.8013524570298008,0.010155462768330684,1.6444437746928215,0.025020979423542717,4.745446334808978,0.3744440994207453,1.0,0.0,1.5255721626709102,0.00530607111287275,1.5255721626709102,0.00530607111287275,0.0,0.0,15.8,1.5679999999999998,15.8,1.5679999999999998,5.48525,0.18512729161309519,5.48525,0.18512729161309519,0.0,0.0,0.0,0.0,0.0,0.0,0.1431638495766361,0.011248926327529057,1.7770000000000001,0.08224705101096329,1.173513991370735,0.017560968651299597,5.085655208017782,0.3203406331734807,1.657982003551073,0.0433598556525948
4,bursty,RR,True,rr-phase,5,0.3841402976731807,0.027829214966014194,0.36547654827342085,0.028100817639681794,0.702248661639393,0.07744140122999515,0.18565220663157878,0.02525141943777575,0.8620034841146527,0.015751936366927212,1.521113803880311,0.04401676433403521,4.553605015331609,0.8617842608939041,0.787,0.011662617630703666,1.1737072534196813,0.01028795526111559,1.1897175016995272,0.010539091279406427,7.217318601648823,0.27543165522152047,31.2,1.4402999687565088,16.753999999999973,2.1482672965904244,13.325662113087596,0.4242148463800785,6.108343511438773,0.22886704384329032,7.217318601648823,0.27543165522152047,15.270000000000005,0.3815712777450639,0.213,0.011662617630703668,0.0,0.0,0.0,0.0,0.47473380065364323,0.026297565936757063,2.0322512606608347,0.07711790994735428,2.0322512606608347,0.07711790994735428
4,bursty,BestFit,False,bestfit,5,0.4166825904954451,0.011840831269972612,0.37813541019258257,0.01972332686479951,0.96815068252058,0.026666705691016257,0.3015318311833455,0.012836894172494668,0.8322842115030137,0.005617946901398542,1.5552511168910266,0.01828807116857289,5.364246152977808,0.4293241326957568,1.0,0.0,1.5255721626709102,0.00530607111287275,1.5255721626709102,0.00530607111287275,0.0,0.0,15.8,1.5679999999999998,15.8,1.5679999999999998,5.5465,0.16846916884106727,5.5465,0.16846916884106727,0.0,0.0,0.0,0.0,0.0,0.0,0.12509579164302037,0.011280099510208893,1.4915,0.07361587532591049,1.0691039195556027,0.01123204045926025,4.7197108889829495,0.17255169308822038,1.6300075769177018,0.04116584245030787
4,bursty,BestFit,True,bestfit-phase,5,0.32021075979133734,0.0064097798109071106,0.3005342320150525,0.00879167661181002,0.6360191791937815,0.020520419137318367,0.1698656546440911,0.015489635506734673,0.8951535480615558,0.0038394495749770855,1.423327455820137,0.013114281609064667,3.7836256501634096,0.342269162006793,0.80625,0.005080428131565298,1.206166773943637,0.014622607093074601,1.2208032735633385,0.015222149800036795,6.4081432709801796,0.15316485271104205,30.216000000000008,0.4714441744257706,16.120000000000005,1.459377620768523,12.356746753563145,0.28932056938201417,5.948603482582965,0.1897651340269493,6.4081432709801796,0.15316485271104205,15.0,0.0,0.19375,0.0050804281315652965,0.0,0.0,0.0,0.0,0.45502834508424367,0.023813966385109027,2.009268388910055,0.06250737661080964,2.009268388910055,0.06250737661080964
4,bursty,DRF,False,drf,5,0.4166825904954451,0.011840831269972612,0.37813541019258257,0.01972332686479951,0.96815068252058,0.026666705691016257,0.3015318311833455,0.012836894172494668,0.8322842115030137,0.005617946901398542,1.5552511168910266,0.01828807116857289,5.364246152977808,0.4293241326957568,1.0,0.0,1.5255721626709102,0.00530607111287275,1.5255721626709102,0.00530607111287275,0.0,0.0,15.8,1.5679999999999998,15.8,1.5679999999999998,5.5465,0.16846916884106727,5.5465,0.16846916884106727,0.0,0.0,0.0,0.0,0.0,0.0,0.12509579164302037,0.011280099510208893,1.4915,0.07361587532591049,1.0691039195556027,0.01123204045926025,4.7197108889829495,0.17255169308822038,1.6300075769177018,0.04116584245030787
4,bursty,DRF,True,drf-phase,5,0.32021075979133734,0.0064097798109071106,0.3005342320150525,0.00879167661181002,0.6360191791937815,0.020520419137318367,0.1698656546440911,0.015489635506734673,0.8951535480615558,0.0038394495749770855,1.423327455820137,0.013114281609064667,3.7836256501634096,0.342269162006793,0.80625,0.005080428131565298,1.206166773943637,0.014622607093074601,1.2208032735633385,0.015222149800036795,6.4081432709801796,0.15316485271104205,30.216000000000008,0.4714441744257706,16.120000000000005,1.459377620768523,12.356746753563145,0.28932056938201417,5.948603482582965,0.1897651340269493,6.4081432709801796,0.15316485271104205,15.0,0.0,0.19375,0.0050804281315652965,0.0,0.0,0.0,0.0,0.45502834508424367,0.023813966385109027,2.009268388910055,0.06250737661080964,2.009268388910055,0.06250737661080964
4,bursty,P2C,False,p2c,5,0.542124673072904,0.022758339373388236,0.5407160634461043,0.038411792221914536,1.1354983707045834,0.03024268729963663,0.35829181109163494,0.02182308869508221,0.7612114449932217,0.013248501802316322,1.7071205248743293,0.03446507040304069,5.542276857031032,0.7834884775656602,1.0,0.0,1.5255721626709102,0.00530607111287275,1.5255721626709102,0.00530607111287275,0.0,0.0,15.8,1.5679999999999998,15.8,1.5679999999999998,5.48675,0.18836437468374967,5.48675,0.18836437468374967,0.0,0.0,0.0,0.0,0.0,0.0,0.1432201456996034,0.010555565412696744,1.86575,0.06519302224931743,1.2015301210611429,0.009208160461419194,5.498739092748101,0.2232126472352048,1.669800440967269,0.043514736983409685
4,bursty,P2C,True,p2c-phase,5,0.4268144454297682,0.025464893313564118,0.3928195297088998,0.023993889316273574,0.8140627984554002,0.04805676374131918,0.21335779960043103,0.016512696650611447,0.8362050918176684,0.01435272938091811,1.5579285051174292,0.03737433225203364,5.516055348182439,0.5967660156421752,0.8035,0.004674302086943038,1.2006276168359182,0.006253219568319347,1.2158865184436007,0.006599098973418333,6.716427133716042,0.21777012468146362,31.031999999999993,1.3966206895216742,16.18399999999999,1.869572894968244,12.718829978710147,0.40024522936236656,6.002402844994106,0.2200982230467043,6.716427133716042,0.21777012468146362,15.0,0.0,0.1965,0.004674302086943029,0.0,0.0,0.00031104199066874026,0.0006096423017107309,0.5127471191449091,0.02402028849051049,2.002549559160665,0.05316911782488802,2.002549559160665,0.05316911782488802
4,bursty,STPS-spatial,False,stps-spatial,5,0.43484488581426867,0.011654337540508932,0.37749737726599336,0.009234347724168515,1.0381477856449641,0.03183714549578273,0.31514356071643307,0.01370942657680649,0.8247735759453645,0.005046649525896387,1.5849465445657258,0.018417214152480918,4.769210426385619,0.48906154279276387,1.0,0.0,1.5255721626709102,0.00530607111287275,1.5255721626709102,0.00530607111287275,0.0,0.0,15.8,1.5679999999999998,15.8,1.5679999999999998,5.537,0.19124851280467506,5.537,0.19124851280467506,0.0,0.0,0.0,0.0,0.0,0.0,0.12697020371716322,0.01001137751716565,1.53125,0.0812536137657889,1.078440782554566,0.018234322516424848,4.876846513816825,0.1592155118213806,1.633703382882239,0.04239701715450283
4,bursty,STPS-spatial,True,stps,5,0.4507316652603527,0.009051672567053417,0.4383888376186295,0.00784419685203971,0.7914908263345907,0.021185050941238973,0.1973142821626746,0.012650858782816651,0.8231450431904461,0.005049569446286198,1.5600758846373675,0.016832070235831362,7.784210301797165,1.0172050248559086,1.0,0.0,1.3836546166931578,0.026592064525679714,1.398797852038478,0.02747405678014298,6.252000000000001,0.26596846128817603,100.21399999999998,27.56707955590508,91.01199999999999,24.458102809629374,26.648,5.579621339898433,20.396,5.817038688980846,6.252000000000001,0.26596846128817603,16.0,0.0,0.0,0.0,0.0677119384262352,0.005916520383656241,0.868,0.14524719153911378,0.8860519954597287,0.02954911435362328,3.426381524520895,0.1640238036031679,1.6480436633606685,0.028242891356594472
