scheduler,seed,cards,tasks,arrival_mode,base_algo,phase_enabled,pair_base_scheduler,pair_phase_scheduler,bw_max,d_max,card_cv,median_card_cv,p95_card_cv,std_card_cv,card_jfi,card_lif,max_min_ratio,completion_rate,throughput,throughput_excl_cold,mean_cold_start,p99_delay,p99_delay_excl_cold,avg_delay,avg_delay_excl_cold,mean_start_offset,p95_start_offset,reject_rate_bw,avg_congestion_ratio,mean_congestion_wait_ticks,time_card_cv_demand_mean,time_card_lif_demand_mean,time_card_lif_served_mean
bestfit-phase,21,4,800,poisson,BestFit,True,bestfit,bestfit-phase,5000000.0,16,0.5628452881326851,0.5603563024540138,0.879193523818996,0.18080375515505376,0.7583495135887028,1.82265327881326,6.501388985152829,1.0,1.436265709156194,1.4519583287959634,6.02,145.0,136.0,23.25875,17.23875,6.02,15.0,0.0,0.0,0.0,0.6087345838667351,2.3034181466467913,2.3034181466467913
bestfit-phase,42,4,800,poisson,BestFit,True,bestfit,bestfit-phase,5000000.0,16,0.5847390993471431,0.5987997127015097,0.8536037960852682,0.1656330489958959,0.7447806409364608,1.8483068492356498,6.967641511232174,1.0,1.4492753623188406,1.4643733969115449,5.69125,99.00999999999999,88.0,18.47875,12.7875,5.69125,15.0,0.0,0.0,0.0,0.6214601998875463,2.2220133630427488,2.2220133630427488
bestfit-phase,99,4,800,poisson,BestFit,True,bestfit,bestfit-phase,5000000.0,16,0.6008785345014144,0.5962817269881806,0.8615556631770757,0.16326570135569227,0.734699143173495,1.8995991779910393,6.942336097944306,1.0,1.4598540145985401,1.4755519486507922,5.83,109.0,97.0,19.5575,13.7275,5.83,15.0,0.0,0.0,0.0,0.6404728200894371,2.2059920681539493,2.2059920681539493
bestfit-phase,123,4,800,poisson,BestFit,True,bestfit,bestfit-phase,5000000.0,16,0.5797993590056786,0.5843496466865628,0.8433014928400016,0.16855525978618077,0.7474414400600684,1.8698089964226552,7.337199515802455,1.0,1.4492753623188406,1.4650136429395497,5.93,122.00999999999999,116.01999999999998,20.725,14.795,5.93,15.0,0.0,0.0,0.0,0.5625241136189707,1.9188643556774705,1.9188643556774705
bestfit-phase,2024,4,800,poisson,BestFit,True,bestfit,bestfit-phase,5000000.0,16,0.5777600142813011,0.5758413880574564,0.8884945842142269,0.1841843243038004,0.7488803187676479,1.866803843425411,5.570569227274131,1.0,1.4285714285714286,1.4434212692634718,5.76125,69.00999999999999,57.0,20.41625,14.655,5.76125,16.0,0.0,0.0,0.0,0.6644088073351616,2.143079589426289,2.143079589426289
drf,42,4,800,poisson,DRF,False,drf,drf-phase,5000000.0,16,0.682052671442752,0.6776940081501085,1.0098523583224903,0.21416654225118306,0.6860722571979417,2.090722894916209,7.084344301186049,1.0,1.5296367112810707,1.5296367112810707,0.0,15.0,15.0,5.31,5.31,0.0,0.0,0.0,0.0,0.0,0.7863721832989911,3.092873753953414,3.092873753953414
drf,21,4,800,poisson,DRF,False,drf,drf-phase,5000000.0,16,0.6586929668490503,0.6620461517779408,1.006794136020553,0.22866692596392532,0.6997972433808499,2.0524437062650773,7.832760835829458,1.0,1.5238095238095237,1.5238095238095237,0.0,15.0,15.0,5.32125,5.32125,0.0,0.0,0.0,0.0,0.0,0.8010147584919369,2.9968273396143936,2.9968273396143936
drf,123,4,800,poisson,DRF,False,drf,drf-phase,5000000.0,16,0.6620226415992249,0.6662600265675475,0.9746367975870065,0.20743474495449823,0.6973796945019979,2.0637130495406173,6.857934785481414,1.0,1.5267175572519085,1.5267175572519085,0.0,15.0,15.0,5.30625,5.30625,0.0,0.0,0.0,0.0,0.0,0.7451504813491766,2.9008134964333365,2.9008134964333365
drf,99,4,800,poisson,DRF,False,drf,drf-phase,5000000.0,16,0.6541462308426854,0.6529387852623301,1.0208441899632374,0.2213680556153711,0.7020397136868418,2.0570288573478854,9.325061823044829,1.0,1.5325670498084292,1.5325670498084292,0.0,15.0,15.0,5.32,5.32,0.0,0.0,0.0,0.0,0.0,0.7581410466653334,2.8657195097685237,2.8657195097685237
drf,2024,4,800,poisson,DRF,False,drf,drf-phase,5000000.0,16,0.6710885854116544,0.6696577170969304,1.03194654224107,0.23314421425875148,0.6924060559532534,2.083788180558393,9.739000002648229,1.0,1.5267175572519085,1.5267175572519085,0.0,15.0,15.0,5.31,5.31,0.0,0.0,0.0,0.0,0.0,0.794957600943449,3.089569884795786,3.089569884795786
drf-phase,21,4,800,poisson,DRF,True,drf,drf-phase,5000000.0,16,0.5628452881326851,0.5603563024540138,0.879193523818996,0.18080375515505376,0.7583495135887028,1.82265327881326,6.501388985152829,1.0,1.436265709156194,1.4519583287959634,6.02,145.0,136.0,23.25875,17.23875,6.02,15.0,0.0,0.0,0.0,0.6087345838667351,2.3034181466467913,2.3034181466467913
drf-phase,42,4,800,poisson,DRF,True,drf,drf-phase,5000000.0,16,0.5847390993471431,0.5987997127015097,0.8536037960852682,0.1656330489958959,0.7447806409364608,1.8483068492356498,6.967641511232174,1.0,1.4492753623188406,1.4643733969115449,5.69125,99.00999999999999,88.0,18.47875,12.7875,5.69125,15.0,0.0,0.0,0.0,0.6214601998875463,2.2220133630427488,2.2220133630427488
drf-phase,99,4,800,poisson,DRF,True,drf,drf-phase,5000000.0,16,0.6008785345014144,0.5962817269881806,0.8615556631770757,0.16326570135569227,0.734699143173495,1.8995991779910393,6.942336097944306,1.0,1.4598540145985401,1.4755519486507922,5.83,109.0,97.0,19.5575,13.7275,5.83,15.0,0.0,0.0,0.0,0.6404728200894371,2.2059920681539493,2.2059920681539493
drf-phase,123,4,800,poisson,DRF,True,drf,drf-phase,5000000.0,16,0.5797993590056786,0.5843496466865628,0.8433014928400016,0.16855525978618077,0.7474414400600684,1.8698089964226552,7.337199515802455,1.0,1.4492753623188406,1.4650136429395497,5.93,122.00999999999999,116.01999999999998,20.725,14.795,5.93,15.0,0.0,0.0,0.0,0.5625241136189707,1.9188643556774705,1.9188643556774705
drf-phase,2024,4,800,poisson,DRF,True,drf,drf-phase,5000000.0,16,0.5777600142813011,0.5758413880574564,0.8884945842142269,0.1841843243038004,0.7488803187676479,1.866803843425411,5.570569227274131,1.0,1.4285714285714286,1.4434212692634718,5.76125,69.00999999999999,57.0,20.41625,14.655,5.76125,16.0,0.0,0.0,0.0,0.6644088073351616,2.143079589426289,2.143079589426289
p2c,21,4,800,poisson,P2C,False,p2c,p2c-phase,5000000.0,16,0.7701695144882765,0.7558534688016326,1.1118253732320862,0.2196330007170279,0.6350826409566139,2.1809898325783506,14.239467165023113,1.0,1.5238095238095237,1.5238095238095237,0.0,15.0,15.0,5.285,5.285,0.0,0.0,0.0,0.0,0.0,0.8804072556231839,3.4775812405722455,3.4775812405722455
p2c,42,4,800,poisson,P2C,False,p2c,p2c-phase,5000000.0,16,0.7876421243571499,0.7816412481825991,1.1684462770070798,0.23204194440859602,0.6258457444702951,2.22321987994544,16.219329850518136,1.0,1.5296367112810707,1.5296367112810707,0.0,15.0,15.0,5.28,5.28,0.0,0.0,0.0,0.0,0.0,0.8885194210399161,3.257518961024741,3.257518961024741
p2c,99,4,800,poisson,P2C,False,p2c,p2c-phase,5000000.0,16,0.7778311671088248,0.802790906572538,1.1216988452630043,0.2240900622394182,0.6303870711154419,2.192084696601447,13.52747966826514,1.0,1.5325670498084292,1.5325670498084292,0.0,15.0,15.0,5.28,5.28,0.0,0.0,0.0,0.0,0.0,0.8992289182429148,3.403828758461507,3.403828758461507
p2c,123,4,800,poisson,P2C,False,p2c,p2c-phase,5000000.0,16,0.7627536284471981,0.7808808646269696,1.1301540941805805,0.22840762960073735,0.6394809389883567,2.1865144617448227,12.737988299583469,1.0,1.5267175572519085,1.5267175572519085,0.0,15.0,15.0,5.28375,5.28375,0.0,0.0,0.0,0.0,0.0,0.8800731407796553,3.35990403232403,3.35990403232403
p2c,2024,4,800,poisson,P2C,False,p2c,p2c-phase,5000000.0,16,0.7944575073385343,0.8157192806934275,1.1463295464438619,0.22676681058723616,0.6208052404359641,2.232783927583716,12.299439023467514,1.0,1.5267175572519085,1.5267175572519085,0.0,15.0,15.0,5.2825,5.2825,0.0,0.0,0.0,0.0,0.0,0.9035054681109776,3.5669737585939827,3.5669737585939827
p2c-phase,21,4,800,poisson,P2C,True,p2c,p2c-phase,5000000.0,16,0.5492774264628981,0.5428577375297925,0.848409378225312,0.18080426233354277,0.7657751413954652,1.8058640699980109,5.228138678493781,1.0,1.4466546112115732,1.461484182859074,5.61125,76.02999999999997,68.01999999999998,22.85375,17.2425,5.61125,16.0,0.0,0.0,0.0,0.6764738125659753,2.1319123616911417,2.1319123616911417
p2c-phase,99,4,800,poisson,P2C,True,p2c,p2c-phase,5000000.0,16,0.5689796486797606,0.5721460465928827,0.8194339036802532,0.1644066813630589,0.7539927070759418,1.8433429883128478,5.211849871718951,1.0,1.4732965009208103,1.4884863256947627,5.54125,62.00999999999999,50.0,21.04,15.49875,5.54125,16.0,0.0,0.0,0.0,0.6632997128717029,2.076389830798722,2.076389830798722
p2c-phase,42,4,800,poisson,P2C,True,p2c,p2c-phase,5000000.0,16,0.5751706918422073,0.5770623423445417,0.8286159804439296,0.16971560687639042,0.7501913667833522,1.8591615953809846,5.261459610501442,1.0,1.4625228519195612,1.4763348142816937,5.1175,53.00999999999999,42.0,16.71,11.5925,5.1175,16.0,0.0,0.0,0.0,0.6866457053931222,2.301701768896149,2.301701768896149
p2c-phase,123,4,800,poisson,P2C,True,p2c,p2c-phase,5000000.0,16,0.5639727409777392,0.5682622216614573,0.8400727691662339,0.1812178627031662,0.7563202015148864,1.8409863919320728,5.570632548950439,1.0,1.415929203539823,1.431354262416439,6.08875,144.01,133.01999999999998,26.84,20.75125,6.08875,16.0,0.0,0.0,0.0,0.6885900327235263,2.2953970576565235,2.2953970576565235
p2c-phase,2024,4,800,poisson,P2C,True,p2c,p2c-phase,5000000.0,16,0.5754727751405749,0.5680292703112316,0.9044544524246887,0.20814506500246382,0.7495340820410288,1.8593718455025852,5.639413310618625,1.0,1.362862010221465,1.376915580014931,5.99125,74.01999999999998,65.0,32.055,26.06375,5.99125,16.0,0.0,0.0,0.0,0.7349038184654417,2.432729735302832,2.432729735302832
stps-spatial,42,4,800,poisson,STPS-spatial,False,stps-spatial,stps,5000000.0,16,0.6896135233627078,0.6835528699175978,1.0114437816547137,0.2125859131732613,0.6812446815660119,2.0991501527886,7.354777250282254,1.0,1.5296367112810707,1.5296367112810707,0.0,15.0,15.0,5.305,5.305,0.0,0.0,0.0,0.0,0.0,0.7984552125451295,2.9496106496575325,2.9496106496575325
stps-spatial,21,4,800,poisson,STPS-spatial,False,stps-spatial,stps,5000000.0,16,0.67980286115401,0.675962218916127,1.0068003658172933,0.21366410991548254,0.687668937580804,2.07451436501731,7.281336199936453,1.0,1.5238095238095237,1.5238095238095237,0.0,15.0,15.0,5.31375,5.31375,0.0,0.0,0.0,0.0,0.0,0.8090683930955579,3.2497336519028712,3.2497336519028712
stps-spatial,99,4,800,poisson,STPS-spatial,False,stps-spatial,stps,5000000.0,16,0.6827973265961041,0.6766194369642509,1.0236711814460073,0.2084230569484242,0.6853319962639569,2.0970637303971746,9.105218822535198,1.0,1.5325670498084292,1.5325670498084292,0.0,15.0,15.0,5.31875,5.31875,0.0,0.0,0.0,0.0,0.0,0.7707630027079284,3.1987026784921695,3.1987026784921695
stps-spatial,123,4,800,poisson,STPS-spatial,False,stps-spatial,stps,5000000.0,16,0.6914743153436627,0.6967485251857116,1.0046484722698017,0.20409265156271575,0.6802738957660601,2.107021535706442,8.066899450348409,1.0,1.5267175572519085,1.5267175572519085,0.0,15.0,15.0,5.3025,5.3025,0.0,0.0,0.0,0.0,0.0,0.7859419268394181,3.118616915810941,3.118616915810941
stps-spatial,2024,4,800,poisson,STPS-spatial,False,stps-spatial,stps,5000000.0,16,0.7071043562970006,0.7133862561288592,1.060108736055133,0.2284349365011482,0.6711141277628866,2.140430112359279,9.69281534737741,1.0,1.5267175572519085,1.5267175572519085,0.0,15.0,15.0,5.2975,5.2975,0.0,0.0,0.0,0.0,0.0,0.835802647639893,3.2381183011892314,3.2381183011892314
stps,21,4,800,poisson,STPS-spatial,True,stps-spatial,stps,5000000.0,16,0.554841386196887,0.5452792071836516,0.86891694718259,0.18437210636879794,0.7631121530370526,1.809300264330993,9.695845726119595,1.0,1.4732965009208103,1.4913200512641267,6.5625,73.0,69.0,16.955,10.3925,6.5625,16.0,0.0,0.0,0.0,0.5840285383768202,2.088500519645293,2.088500519645293
stps,42,4,800,poisson,STPS-spatial,True,stps-spatial,stps,5000000.0,16,0.5534148832100895,0.5423836199659209,0.8423049768956667,0.16761235277736325,0.7641173216673999,1.7972016652141432,6.273367393262908,1.0,1.4625228519195612,1.4799090780860151,6.42625,105.01999999999998,101.01999999999998,19.39625,12.97,6.42625,15.049999999999955,0.0,0.0,0.0,0.6223524485712144,2.5336196244891425,2.5336196244891425
stps,99,4,800,poisson,STPS-spatial,True,stps-spatial,stps,5000000.0,16,0.5549051835381406,0.556821790207761,0.8395305115676811,0.16720275221459902,0.7629155088207348,1.8107978785148926,6.115428685112363,1.0,1.4678899082568808,1.4843264404924252,6.035,75.0,63.0,19.36125,13.32625,6.035,16.0,0.0,0.0,0.0,0.6504678950947702,2.15114067595469,2.15114067595469
rr,21,4,800,bursty,RR,False,rr,rr-phase,5000000.0,16,0.7233674432477065,0.7039868607850552,1.3068840046927832,0.34266034829252234,0.6688677911783425,2.110871481115998,10.708643254788266,1.0,1.520912547528517,1.520912547528517,0.0,15.0,15.0,5.395,5.395,0.0,0.0,0.0,0.0,0.0,0.9628815435001443,3.618009606694888,3.618009606694888
rr,42,4,800,bursty,RR,False,rr,rr-phase,5000000.0,16,0.7590732293555963,0.7302196652955312,1.2606679090096984,0.30225341323494864,0.6471162365672608,2.173414135121031,9.647687652008385,1.0,1.5238095238095237,1.5238095238095237,0.0,15.0,15.0,5.4,5.4,0.0,0.0,0.0,0.0,0.0,0.9921540512988141,3.5994403687211887,3.5994403687211887
rr,99,4,800,bursty,RR,False,rr,rr-phase,5000000.0,16,0.7284437532140746,0.7020061835816314,1.2376399705777428,0.30344456741842035,0.6644001415990858,2.1032166849479976,8.034582410658361,1.0,1.5355086372360844,1.5355086372360844,0.0,15.0,15.0,5.3975,5.3975,0.0,0.0,0.0,0.0,0.0,0.9408811963399045,3.5735971433472913,3.5735971433472913
rr,123,4,800,bursty,RR,False,rr,rr-phase,5000000.0,16,0.722573065696157,0.7028575942032427,1.2670665839590731,0.3293621096521995,0.6687982669907693,2.1235358638042756,10.357218868271818,1.0,1.520912547528517,1.520912547528517,0.0,15.0,15.0,5.37125,5.37125,0.0,0.0,0.0,0.0,0.0,0.9309930557095478,3.337191551743925,3.337191551743925
rr,2024,4,800,bursty,RR,False,rr,rr-phase,5000000.0,16,0.7055818212962165,0.653846477823613,1.3929867674909602,0.36162586929985285,0.6812515394514105,2.0674535758511166,8.676587984344737,1.0,1.5267175572519085,1.5267175572519085,0.0,19.0,19.0,5.8625,5.8625,0.0,0.0,0.0,0.0,0.0,0.9509646049262134,3.495296359205337,3.495296359205337
rr-phase,21,4,800,bursty,RR,True,rr,rr-phase,5000000.0,16,0.5804096575967702,0.571920821033769,0.9314226081040697,0.21828535753040107,0.7472998599202033,1.8735736089697663,5.926002717619428,1.0,1.3377926421404682,1.3512514911271336,5.95625,88.0,84.01999999999998,27.9325,21.97625,5.95625,16.0,0.0,0.0,0.0,0.7502144742919007,2.5227112038228436,2.5227112038228436
rr-phase,42,4,800,bursty,RR,True,rr,rr-phase,5000000.0,16,0.5946469641482278,0.6161474083697883,0.9195939603531809,0.21762173844540636,0.7375502844913372,1.914089007246846,6.0667409426364935,1.0,1.342281879194631,1.355360769506077,5.75125,77.00999999999999,71.0,21.98,16.22875,5.75125,16.0,0.0,0.0,0.0,0.7644674561150392,2.517336001426494,2.517336001426494
rr-phase,99,4,800,bursty,RR,True,rr,rr-phase,5000000.0,16,0.5466104168376451,0.5317162655284082,0.8592776561029856,0.19726415891554014,0.7674369195287963,1.8073981539047685,4.9586662403742885,1.0,1.3840830449826989,1.397624039133473,5.6,99.01999999999998,88.0,27.1775,21.5775,5.6,16.0,0.0,0.0,0.0,0.725332119880772,2.4448128443017265,2.4448128443017265
rr-phase,123,4,800,bursty,RR,True,rr,rr-phase,5000000.0,16,0.558288741146702,0.563606671053584,0.952670787980972,0.21575997970786065,0.7605706951606637,1.8144031260481448,5.761113172956927,1.0,1.3559322033898304,1.3695405619396117,5.8625,139.01,127.0,26.95875,21.09625,5.8625,16.0,0.0,0.0,0.0,0.720128598045932,2.3888274248228107,2.3888274248228107
rr-phase,2024,4,800,bursty,RR,True,rr,rr-phase,5000000.0,16,0.5572136458804562,0.5811705124562327,0.8182096719679647,0.18098716882550564,0.7601997452420798,1.8244950994750768,5.150363470506936,1.0,1.4035087719298245,1.4181788367831272,5.89625,108.0,95.00999999999999,36.74875,30.8525,5.89625,16.0,0.0,0.0,0.0,0.6818513811577585,2.1454843248523323,2.1454843248523323
bestfit,21,4,800,bursty,BestFit,False,bestfit,bestfit-phase,5000000.0,16,0.6573076825098937,0.6387276242712495,1.218863702171295,0.3085343719204077,0.7035364203428223,2.0142438364215303,8.966193635508795,1.0,1.520912547528517,1.520912547528517,0.0,15.0,15.0,5.48,5.48,0.0,0.0,0.0,0.0,0.0,0.8675236951669776,3.3117649609504425,3.3117649609504425
bestfit,42,4,800,bursty,BestFit,False,bestfit,bestfit-phase,5000000.0,16,0.6928108080203763,0.670031276114744,1.183436953058105,0.2806774182887259,0.6825583813521293,2.0656409504713484,10.60636837601359,1.0,1.5238095238095237,1.5238095238095237,0.0,15.0,15.0,5.4925,5.4925,0.0,0.0,0.0,0.0,0.0,0.8786484688894938,3.241049762966057,3.241049762966057
bestfit,99,4,800,bursty,BestFit,False,bestfit,bestfit-phase,5000000.0,16,0.6465130770579991,0.6135645755720198,1.1268007591781088,0.3069329252350291,0.710072826223073,1.9905168809594294,7.60103935287066,1.0,1.5355086372360844,1.5355086372360844,0.0,15.0,15.0,5.45875,5.45875,0.0,0.0,0.0,0.0,0.0,0.8568339036910736,3.2765211039932387,3.2765211039932387
