scheduler,seed,cards,tasks,arrival_mode,base_algo,phase_enabled,pair_base_scheduler,pair_phase_scheduler,bw_max,d_max,card_cv,median_card_cv,p95_card_cv,std_card_cv,card_jfi,card_lif,max_min_ratio,completion_rate,throughput,throughput_excl_cold,mean_cold_start,p99_delay,p99_delay_excl_cold,avg_delay,avg_delay_excl_cold,mean_start_offset,p95_start_offset,reject_rate_bw,avg_congestion_ratio,mean_congestion_wait_ticks,time_card_cv_demand_mean,time_card_lif_demand_mean,time_card_lif_served_mean
bestfit-phase,42,4,800,poisson,BestFit,True,bestfit,bestfit-phase,900000.0,2,0.3194556960897637,0.29900633005784527,0.6473462720002747,0.1608402419859312,0.8966231956802253,1.42103518605862,3.62974651065136,0.74375,1.1354961832061068,1.137528396037568,0.9361344537815126,17.0,15.0,6.894117647058824,5.957983193277311,0.9361344537815126,2.0,0.25625,0.0,0.0,0.4220245890000437,2.224555809962652,2.224555809962652
drf-phase,2024,4,800,poisson,DRF,True,drf,drf-phase,900000.0,2,0.3261073214469458,0.30538759935230697,0.6280643253716087,0.15711590026615274,0.8933737323165603,1.4307240998885165,3.8755762261453173,0.76,1.155893536121673,1.158055330173459,0.9819078947368421,17.0,15.0,6.850328947368421,5.868421052631579,0.9819078947368421,2.0,0.24,0.0,0.0,0.42699869578185334,2.2306249722809337,2.2306249722809337
bestfit-phase,99,4,800,poisson,BestFit,True,bestfit,bestfit-phase,900000.0,2,0.3290588884560215,0.3156077117802606,0.5922943819700097,0.14616925726002236,0.8933653991955947,1.4291825684444512,4.058734403631475,0.75625,1.1567877629063097,1.1590038314176245,1.0,17.0,15.0,6.8826446280991735,5.8826446280991735,1.0,2.0,0.24375,0.0,0.0,0.41928287597261704,2.1957603338021237,2.1957603338021237
rr-phase,21,4,800,bursty,RR,True,rr,rr-phase,900000.0,2,0.4023442435523437,0.34443545918869345,0.9902152734236024,0.25356440271911607,0.8518293829155049,1.5276389907942545,2.887837669973202,0.685,1.0398481973434535,1.0417961811722911,0.9854014598540146,17.0,15.0,7.182481751824818,6.197080291970803,0.9854014598540146,2.0,0.315,0.0,0.0,0.573561670396721,2.4132729863781415,2.4132729863781415
rr-phase,42,4,800,bursty,RR,True,rr,rr-phase,900000.0,2,0.3910784760000974,0.3296901397108493,0.9413499987760814,0.24132951377107792,0.8572346695897489,1.5110038201488591,2.959931454000474,0.69125,1.049335863377609,1.0512729722854375,0.9710669077757685,17.0,15.0,7.160940325497288,6.189873417721519,0.9710669077757685,2.0,0.30875,0.0,0.0,0.5543366739489661,2.435550908521154,2.435550908521154
rr,42,4,800,bursty,RR,False,rr,rr-phase,900000.0,2,0.4963200279185902,0.45985870067063145,1.0265608935562982,0.30403804193957396,0.792599916454952,1.6685778407802394,4.843621002187498,1.0,1.5238095238095237,1.5238095238095237,0.0,15.0,15.0,5.4,5.4,0.0,0.0,0.0,0.1253287530913031,1.73,1.1937448946797113,5.227999302121038,1.7322408490722494
rr-phase,42,4,800,poisson,RR,True,rr,rr-phase,900000.0,2,0.3112177555856785,0.29867763453287727,0.5173235845192827,0.1162923234586601,0.9049682802324048,1.4011955771825566,2.4436287877271696,0.71875,1.0994263862332696,1.1016536883948593,1.057391304347826,17.0,15.0,7.229565217391304,6.172173913043478,1.057391304347826,2.0,0.28125,0.0,0.0,0.4046203740265546,2.076997709905219,2.076997709905219
rr-phase,99,4,800,bursty,RR,True,rr,rr-phase,900000.0,2,0.3877698897360549,0.3419973204982199,0.8518272623229157,0.2333536227395214,0.8576803547531081,1.505847464378504,2.8502579037198528,0.69,1.0595009596928984,1.0614201315349459,0.9420289855072463,17.0,15.0,7.021739130434782,6.079710144927536,0.9420289855072463,2.0,0.31,0.0,0.0,0.5378946269326167,2.350400889514796,2.350400889514796
drf,123,4,800,poisson,DRF,False,drf,drf-phase,900000.0,2,0.35913832837555826,0.35229042434183155,0.6299180917816162,0.157907650392518,0.8755566747532635,1.477449473915253,3.670234370301384,1.0,1.5267175572519085,1.5267175572519085,0.0,15.0,15.0,5.30625,5.30625,0.0,0.0,0.0,0.10711645458166602,1.025,0.9118476309682592,4.129559374846938,1.5340713681029112
rr-phase,123,4,800,bursty,RR,True,rr,rr-phase,900000.0,2,0.3712444798832747,0.31481880315045174,0.7883173429238982,0.2453693633942739,0.8675617527734681,1.4954155531037545,3.0296180337738154,0.6975,1.0568181818181819,1.058726321265722,0.9516129032258065,17.0,15.0,7.120071684587813,6.168458781362007,0.9516129032258065,2.0,0.3025,0.0,0.0,0.5266938456735006,2.3019292340939286,2.3019292340939286
rr,21,4,800,bursty,RR,False,rr,rr-phase,900000.0,2,0.485053450322723,0.43146568733997936,1.1388868359875182,0.3541888784596017,0.7931186219939158,1.6684619878944693,4.948251886189426,1.0,1.520912547528517,1.520912547528517,0.0,15.0,15.0,5.395,5.395,0.0,0.0,0.0,0.13982761571156196,1.725,1.1665240874958913,5.502252475526918,1.6729246547889367
p2c-phase,2024,4,800,poisson,P2C,True,p2c,p2c-phase,900000.0,2,0.5649000172831542,0.5292245275830643,1.076945226907194,0.24920654553998478,0.7585905233660222,1.759215151697806,6.943243321234939,0.7075,1.0760456273764258,1.078149662611271,1.0265017667844523,17.0,15.0,7.0583038869257955,6.031802120141343,1.0265017667844523,2.0,0.2925,1.3481806603186746e-06,0.0017667844522968198,0.6180807098133049,2.4005038998573087,2.399209841438093
