scheduler,seed,cards,tasks,arrival_mode,base_algo,phase_enabled,pair_base_scheduler,pair_phase_scheduler,bw_max,d_max,card_cv,median_card_cv,p95_card_cv,std_card_cv,card_jfi,card_lif,max_min_ratio,completion_rate,throughput,throughput_excl_cold,mean_cold_start,p99_delay,p99_delay_excl_cold,avg_delay,avg_delay_excl_cold,mean_start_offset,p95_start_offset,reject_rate_bw,avg_congestion_ratio,mean_congestion_wait_ticks,time_card_cv_demand_mean,time_card_lif_demand_mean,time_card_lif_served_mean
rr,42,4,400,poisson,RR,False,rr,rr-phase,900000.0,2,0.777023499672204,0.7221734431977043,1.3109951856400253,0.29194920319246415,0.6368233972740215,2.1512553956015155,7.07959117778139,1.0,0.7692307692307693,0.7692307692307693,0.0,15.0,15.0,5.28,5.28,0.0,0.0,0.0,0.05581826572194994,0.905,1.5341887566400645,7.547973808423143,2.8924023754768884
rr,21,4,400,poisson,RR,False,rr,rr-phase,900000.0,2,0.7913670825926321,0.7077405748325425,1.450461732489487,0.3451203546001576,0.6339824992635974,2.1745708069609098,8.361944035171952,1.0,0.7662835249042146,0.7662835249042146,0.0,15.0,15.0,5.28,5.28,0.0,0.0,0.0,0.05723017473682597,0.9725,1.5570334302509132,7.8026810836434075,2.8814443849260947
rr,99,4,400,poisson,RR,False,rr,rr-phase,900000.0,2,0.793803423194237,0.7383979502281872,1.3743685652652649,0.3055095861162329,0.6288837885516613,2.1868500381629796,7.330473004022669,1.0,0.7722007722007722,0.7722007722007722,0.0,15.0,15.0,5.28,5.28,0.0,0.0,0.0,0.05589944965883419,0.915,1.5311269880436185,7.682987027201724,2.8899220480011003
rr,123,4,400,poisson,RR,False,rr,rr-phase,900000.0,2,0.8006189490112069,0.735255629596641,1.3351254426980592,0.3058609474710461,0.6255736588670152,2.196213619216664,7.509879321216043,1.0,0.7633587786259542,0.7633587786259542,0.0,15.0,15.0,5.28,5.28,0.0,0.0,0.0,0.05397869484340722,0.9075,1.5428416028058232,7.811845209765378,2.936539605979642
rr-phase,21,4,400,poisson,RR,True,rr,rr-phase,900000.0,2,0.587446481816371,0.49341213524023186,1.3103879658567217,0.3604202747939979,0.7500900014279905,1.8114967420161785,3.7826924064974943,0.7675,0.5881226053639846,0.5886478755363467,0.46579804560260585,15.0,15.0,6.436482084690554,5.970684039087948,0.46579804560260585,2.0,0.2325,0.0,0.0,0.7001553304533557,3.6079117355759025,3.6079117355759025
rr,2024,4,400,poisson,RR,False,rr,rr-phase,900000.0,2,0.8012065809355458,0.7280848415327917,1.576808731263107,0.333397433113895,0.6285057722466403,2.1814282276506494,5.875964380974337,1.0,0.7648183556405354,0.7648183556405354,0.0,15.0,15.0,5.28,5.28,0.0,0.0,0.0,0.05370782102796972,0.93,1.5577842775632547,7.873401313842128,2.9522225502929644
rr-phase,99,4,400,poisson,RR,True,rr,rr-phase,900000.0,2,0.5665137966386755,0.49341213524023186,1.1034125558731993,0.32511557694773147,0.7578158421175482,1.7727576565118506,3.8202642583044666,0.775,0.5984555984555985,0.5989479457518947,0.4258064516129032,15.0,15.0,6.367741935483871,5.941935483870968,0.4258064516129032,2.0,0.225,0.0,0.0,0.6808132740712458,3.6488460531929197,3.6488460531929197
rr-phase,42,4,400,poisson,RR,True,rr,rr-phase,900000.0,2,0.5643166396268849,0.5255029450960381,1.1034125558731993,0.29822744595943473,0.7593312771419812,1.7455864154120775,3.639317174148362,0.7675,0.5903846153846154,0.5908324400228187,0.3941368078175896,15.0,15.0,6.364820846905538,5.970684039087948,0.3941368078175896,2.0,0.2325,0.0,0.0,0.6727388200215274,3.6886027902246292,3.6886027902246292
rr-phase,123,4,400,poisson,RR,True,rr,rr-phase,900000.0,2,0.5865105581133684,0.5299458209383977,1.1034125558731993,0.3374512264634913,0.7478260718403441,1.8030197776494363,4.333120217865892,0.7875,0.601145038167939,0.6016079256425337,0.4031746031746032,15.0,15.0,6.298412698412698,5.895238095238096,0.4031746031746032,2.0,0.2125,0.0,0.0,0.6954940592350183,3.6582572358384837,3.6582572358384837
rr-phase,2024,4,400,poisson,RR,True,rr,rr-phase,900000.0,2,0.5832255498188436,0.504834335254948,1.255478115162411,0.3626514493379395,0.7522528563819113,1.7926759878834573,3.405425435244857,0.765,0.5850860420650096,0.5855909943714822,0.45098039215686275,15.0,15.0,6.431372549019608,5.980392156862745,0.45098039215686275,2.0,0.235,0.0,0.0,0.6937642400915933,3.7620802981271355,3.7620802981271355
bestfit,21,4,400,poisson,BestFit,False,bestfit,bestfit-phase,900000.0,2,0.6605726197829342,0.5950214215555041,1.2954675681042322,0.3256492377723827,0.7037248751364105,1.9706211504647242,8.764679949206801,1.0,0.7662835249042146,0.7662835249042146,0.0,15.0,15.0,5.28,5.28,0.0,0.0,0.0,0.04453592498157644,0.7375,1.3920507867967706,7.543553710029884,2.8246568308765827
bestfit,42,4,400,poisson,BestFit,False,bestfit,bestfit-phase,900000.0,2,0.6676086701289511,0.6457031879966872,1.1098554075741855,0.2972872479381465,0.6964540583060886,1.9719496070265243,8.331436470695563,1.0,0.7692307692307693,0.7692307692307693,0.0,15.0,15.0,5.28,5.28,0.0,0.0,0.0,0.044233820716039714,0.725,1.3915566904703902,6.922043164993083,2.8484252449372818
bestfit,99,4,400,poisson,BestFit,False,bestfit,bestfit-phase,900000.0,2,0.6701343973457534,0.6555675028628509,1.1494466346101153,0.3067121842368753,0.6952900267116133,1.9910784694578956,8.315437707066737,1.0,0.7722007722007722,0.7722007722007722,0.0,15.0,15.0,5.28,5.28,0.0,0.0,0.0,0.043931350458430364,0.725,1.3645083828618907,6.912110043484128,2.833898308883335
