scheduler,seed,cards,tasks,arrival_mode,base_algo,phase_enabled,pair_base_scheduler,pair_phase_scheduler,bw_max,d_max,card_cv,median_card_cv,p95_card_cv,std_card_cv,card_jfi,card_lif,max_min_ratio,completion_rate,throughput,throughput_excl_cold,mean_cold_start,p99_delay,p99_delay_excl_cold,avg_delay,avg_delay_excl_cold,mean_start_offset,p95_start_offset,reject_rate_bw,avg_congestion_ratio,mean_congestion_wait_ticks,time_card_cv_demand_mean,time_card_lif_demand_mean,time_card_lif_served_mean
drf,21,16,3200,poisson,DRF,False,drf,drf-phase,5000000.0,16,0.7884154232452449,0.7751584053693031,0.98679624706364,0.1163039274865252,0.6193960496139017,2.652564224691101,13.07397469612717,1.0,6.083650190114068,6.083650190114068,0.0,15.0,15.0,5.2878125,5.2878125,0.0,0.0,0.0,0.0,0.0,0.7836410142104071,3.1534419627059362,3.1534419627059362
drf,42,16,3200,poisson,DRF,False,drf,drf-phase,5000000.0,16,0.7811548578658694,0.7757519186415762,0.9471395938810651,0.11324901186153043,0.6234662574608802,2.6442403774375585,13.711401729547356,1.0,6.072106261859583,6.072106261859583,0.0,15.0,15.0,5.2909375,5.2909375,0.0,0.0,0.0,0.0,0.0,0.7802257796510645,3.1207062790450384,3.1207062790450384
bestfit,2024,16,3200,poisson,BestFit,False,bestfit,bestfit-phase,5000000.0,16,0.7898439412977862,0.7891626539427319,0.9679222425089851,0.10311832173614564,0.6179406915286726,2.6491829931800357,13.685080524746038,1.0,6.072106261859583,6.072106261859583,0.0,15.0,15.0,5.2890625,5.2890625,0.0,0.0,0.0,0.0,0.0,0.7851875618604209,3.1829376235411804,3.1829376235411804
drf,123,16,3200,poisson,DRF,False,drf,drf-phase,5000000.0,16,0.7948864674080838,0.7997937924920804,0.95759979380061,0.10239616771692951,0.6148444836589125,2.672350188234294,12.304557223570498,1.0,6.072106261859583,6.072106261859583,0.0,15.0,15.0,5.2875,5.2875,0.0,0.0,0.0,0.0,0.0,0.795495956002054,3.1979657451343613,3.1979657451343613
rr,42,16,3200,poisson,RR,False,rr,rr-phase,5000000.0,16,0.8447534598307599,0.8510368475186988,1.026753091226032,0.11264298829131143,0.5862961509300888,2.766072137998367,50.128147698797775,1.0,6.072106261859583,6.072106261859583,0.0,15.0,15.0,5.285,5.285,0.0,0.0,0.0,0.0,0.0,0.8529160420646019,3.2809875903865793,3.2809875903865793
rr,2024,16,3200,poisson,RR,False,rr,rr-phase,5000000.0,16,0.8538780598612504,0.8517245598398377,1.039038391520523,0.11667657704280478,0.5813535494920878,2.7675481292685196,56.709314795336425,1.0,6.072106261859583,6.072106261859583,0.0,15.0,15.0,5.285,5.285,0.0,0.0,0.0,0.0,0.0,0.8568592122241814,3.247310631744024,3.247310631744024
bestfit-phase,21,16,3200,poisson,BestFit,True,bestfit,bestfit-phase,5000000.0,16,0.6944120559255132,0.7025646779892669,0.8408274449363159,0.09348046389950991,0.675602911783309,2.4386088735145632,18.732810468885816,1.0,5.776173285198556,5.838370638469161,5.901875,126.00999999999976,120.0,20.9159375,15.0140625,5.901875,16.0,0.0,0.0,0.0,0.6048234508570398,2.0221233160145116,2.0221233160145116
rr-phase,123,16,3200,poisson,RR,True,rr,rr-phase,5000000.0,16,0.7076840420464438,0.7133165040264424,0.8242886637246741,0.07770604090150517,0.667071229835742,2.4362229655027066,12.4821858878005,1.0,5.734767025089606,5.796445148873542,5.9375,90.0,80.0,20.214375,14.276875,5.9375,16.0,0.0,0.0,0.0,0.6811194166924411,2.2127802309136313,2.2127802309136313
drf-phase,123,16,3200,poisson,DRF,True,drf,drf-phase,5000000.0,16,0.7023555214440607,0.7006569464709304,0.8342748548957428,0.0827769456269105,0.6705762650428643,2.4741908849069754,25.03863253227417,1.0,5.807622504537205,5.868510968499162,5.716875,103.0,96.0,17.2540625,11.5371875,5.716875,15.0,0.0,0.0,0.0,0.5688825684501551,1.9706818476107406,1.9706818476107406
bestfit-phase,123,16,3200,poisson,BestFit,True,bestfit,bestfit-phase,5000000.0,16,0.7023555214440607,0.7006569464709304,0.8342748548957428,0.0827769456269105,0.6705762650428643,2.4741908849069754,25.03863253227417,1.0,5.807622504537205,5.868510968499162,5.716875,103.0,96.0,17.2540625,11.5371875,5.716875,15.0,0.0,0.0,0.0,0.5688825684501551,1.9706818476107406,1.9706818476107406
