scheduler,seed,cards,tasks,arrival_mode,base_algo,phase_enabled,pair_base_scheduler,pair_phase_scheduler,bw_max,d_max,card_cv,median_card_cv,p95_card_cv,std_card_cv,card_jfi,card_lif,max_min_ratio,completion_rate,throughput,throughput_excl_cold,mean_cold_start,p99_delay,p99_delay_excl_cold,avg_delay,avg_delay_excl_cold,mean_start_offset,p95_start_offset,reject_rate_bw,avg_congestion_ratio,mean_congestion_wait_ticks,time_card_cv_demand_mean,time_card_lif_demand_mean,time_card_lif_served_mean
bestfit-phase,2024,16,3200,poisson,BestFit,True,bestfit,bestfit-phase,900000.0,16,0.3817061713970082,0.3824240324930451,0.510707990692495,0.07670702267583901,0.8706821670929894,1.6942038981182823,16.865551039244014,0.8259375,4.894444444444445,4.949522368135769,6.009080590238366,30.0,15.0,11.757472569050321,5.748391978811956,6.009080590238366,14.0,0.1740625,0.0,0.0,0.39794970277424707,1.8380367393422938,1.8380367393422938
drf-phase,2024,16,3200,poisson,DRF,True,drf,drf-phase,900000.0,16,0.3817061713970082,0.3824240324930451,0.510707990692495,0.07670702267583901,0.8706821670929894,1.6942038981182823,16.865551039244014,0.8259375,4.894444444444445,4.949522368135769,6.009080590238366,30.0,15.0,11.757472569050321,5.748391978811956,6.009080590238366,14.0,0.1740625,0.0,0.0,0.39794970277424707,1.8380367393422938,1.8380367393422938
drf-phase,123,16,3200,poisson,DRF,True,drf,drf-phase,900000.0,16,0.3748889996034584,0.37392519837138904,0.4945962358084423,0.06546511900197147,0.8751302916932157,1.6941950470377258,15.764642135487343,0.8265625,4.907235621521336,4.9636032111474915,6.120982986767486,30.0,15.0,11.876370510396976,5.75538752362949,6.120982986767486,15.0,0.1734375,0.0,0.0,0.3859453667283984,1.8592783299614895,1.8592783299614895
bestfit-phase,42,16,3200,poisson,BestFit,True,bestfit,bestfit-phase,900000.0,16,0.3639818378601514,0.3587925567686656,0.5018632390777449,0.07846858767811077,0.8805659212788594,1.6742333473762347,13.850837659011274,0.8259375,4.912639405204461,4.96779073042098,5.972758229284904,29.0,15.0,11.725690503216043,5.752932273931139,5.972758229284904,15.0,0.1740625,0.0,0.0,0.37770703688775165,1.8043149498502373,1.8043149498502373
rr-phase,21,16,3200,poisson,RR,True,rr,rr-phase,900000.0,16,0.6279524516127553,0.6295292257020934,0.7718350157925069,0.09038894313513705,0.7176203382565467,1.969027732451759,47.83841571913348,0.8371875,4.988826815642458,5.050995977242849,6.6095558044046285,31.0,15.0,12.122433743934304,5.512877939529675,6.6095558044046285,15.0,0.1628125,1.7769349225141034e-06,0.0003732736095558044,0.6353365726803919,2.1316159629564355,2.130095886062736
drf,21,16,3200,poisson,DRF,False,drf,drf-phase,900000.0,16,0.38709362339481335,0.3798698809079219,0.5468190200505381,0.09169141820293338,0.8667892039647714,1.5631974832538917,6.808850125160604,1.0,6.083650190114068,6.083650190114068,0.0,15.0,15.0,5.2878125,5.2878125,0.0,0.0,0.0,0.10927392795618622,1.0490625,0.9337114887079355,4.320834325250551,1.5299343657174465
rr,21,16,3200,poisson,RR,False,rr,rr-phase,900000.0,16,0.4359936660268669,0.434616336033235,0.6195383484127427,0.10596827939706899,0.837483157305556,1.537974031772028,13.307366292751611,1.0,6.083650190114068,6.083650190114068,0.0,15.0,15.0,5.285,5.285,0.0,0.0,0.0,0.11549753401297971,1.195,1.0173761566611776,4.705657398132367,1.507827162075801
bestfit-phase,21,16,3200,poisson,BestFit,True,bestfit,bestfit-phase,900000.0,16,0.3817751881738505,0.37896634220981656,0.5010320606260592,0.07036654129893909,0.8709729080796159,1.6981777140978769,17.17675737777685,0.8275,4.949532710280374,5.005613902833222,5.993957703927492,30.0,15.0,11.73262839879154,5.738670694864048,5.993957703927492,15.0,0.1725,0.0,0.0,0.3985606951358193,1.837324777505527,1.837324777505527
bestfit-phase,123,16,3200,poisson,BestFit,True,bestfit,bestfit-phase,900000.0,16,0.3748889996034584,0.37392519837138904,0.4945962358084423,0.06546511900197147,0.8751302916932157,1.6941950470377258,15.764642135487343,0.8265625,4.907235621521336,4.9636032111474915,6.120982986767486,30.0,15.0,11.876370510396976,5.75538752362949,6.120982986767486,15.0,0.1734375,0.0,0.0,0.3859453667283984,1.8592783299614895,1.8592783299614895
drf,2024,16,3200,poisson,DRF,False,drf,drf-phase,900000.0,16,0.3909367110401625,0.38855900947254696,0.5325513401080827,0.07911589921062459,0.8652327178416739,1.568961002410176,6.86700842149105,1.0,6.072106261859583,6.072106261859583,0.0,15.0,15.0,5.2890625,5.2890625,0.0,0.0,0.0,0.10528096854195096,1.010625,0.9278972424579891,4.338675877263169,1.544887237855229
drf,123,16,3200,poisson,DRF,False,drf,drf-phase,900000.0,16,0.3895898078659067,0.38560341647284635,0.5188692861621882,0.08104428152090472,0.865919520362744,1.5695332266859763,6.504128432652366,1.0,6.072106261859583,6.072106261859583,0.0,15.0,15.0,5.2875,5.2875,0.0,0.0,0.0,0.10570456317491157,1.024375,0.9322771580143945,4.388410075356642,1.5446196559611156
drf,42,16,3200,poisson,DRF,False,drf,drf-phase,900000.0,16,0.3890576006949384,0.38922906525033696,0.5307417205595697,0.08762000312997184,0.8658215008491148,1.5697433163054084,7.547081391001646,1.0,6.072106261859583,6.072106261859583,0.0,15.0,15.0,5.2909375,5.2909375,0.0,0.0,0.0,0.10500128663119998,1.0128125,0.9283841000989259,4.284919310340883,1.5379909637134672
drf-phase,21,16,3200,poisson,DRF,True,drf,drf-phase,900000.0,16,0.3817751881738505,0.37896634220981656,0.5010320606260592,0.07036654129893909,0.8709729080796159,1.6981777140978769,17.17675737777685,0.8275,4.949532710280374,5.005613902833222,5.993957703927492,30.0,15.0,11.73262839879154,5.738670694864048,5.993957703927492,15.0,0.1725,0.0,0.0,0.3985606951358193,1.837324777505527,1.837324777505527
drf-phase,42,16,3200,poisson,DRF,True,drf,drf-phase,900000.0,16,0.3639818378601514,0.3587925567686656,0.5018632390777449,0.07846858767811077,0.8805659212788594,1.6742333473762347,13.850837659011274,0.8259375,4.912639405204461,4.96779073042098,5.972758229284904,29.0,15.0,11.725690503216043,5.752932273931139,5.972758229284904,15.0,0.1740625,0.0,0.0,0.37770703688775165,1.8043149498502373,1.8043149498502373
