scheduler,seed,cards,arrival_mode,base_algo,phase_enabled,card_id,kind,mean_load,max_load,std_load,time_cv,time_lif,time_jfi,mean_cong_ratio,max_cong_ratio,completed_tasks,throughput
rr-phase,123,16,poisson,RR,True,0,served,216645.32001731737,760000.0,156736.20690561025,0.7234691563754143,3.5080379301027595,0.6564231310929671,0.0,0.0,85,0.2141057934508816
rr-phase,123,16,poisson,RR,True,1,served,217703.2544597174,760000.0,156076.05246691764,0.7169210807355987,3.4909905315201715,0.6605125235287794,0.0,0.0,86,0.21662468513853905
rr-phase,123,16,poisson,RR,True,2,served,216678.90523899952,760000.0,154615.88106591103,0.7135714521695954,3.507494184363312,0.6626096327424967,0.0,0.0,85,0.2141057934508816
rr-phase,123,16,poisson,RR,True,3,served,217125.1089150071,760000.0,158818.1022806115,0.7314589412262785,3.500286096793621,0.6514521397467805,0.0,0.0,86,0.21662468513853905
rr-phase,123,16,poisson,RR,True,4,served,217132.3057034202,760000.0,159923.8801916643,0.7365273429652769,3.5001700808081493,0.6483097640557343,0.0,0.0,86,0.21662468513853905
rr-phase,123,16,poisson,RR,True,5,served,217038.8717849693,760000.0,156697.15375803443,0.7219773696265881,3.501676882807279,0.6573535781839326,0.0,0.0,86,0.21662468513853905
rr-phase,123,16,poisson,RR,True,6,served,217132.3057034202,760000.0,155151.1474135192,0.7145465844471771,3.5001700808081493,0.6619987715087061,0.0,0.0,86,0.21662468513853905
rr-phase,123,16,poisson,RR,True,7,served,218593.26292161917,760000.0,157393.047348165,0.7200269818224055,3.4767768678786437,0.6585711350852211,0.0,0.0,85,0.2141057934508816
rr-phase,123,16,poisson,RR,True,8,served,217703.2544597174,760000.0,152252.73437036408,0.6993590185328905,3.4909905315201715,0.6715452022357946,0.0,0.0,86,0.21662468513853905
rr-phase,123,16,poisson,RR,True,9,served,216678.90523899952,760000.0,152456.49508129162,0.7036056182447951,3.507494184363312,0.668869089362446,0.0,0.0,85,0.2141057934508816
rr-phase,123,16,poisson,RR,True,10,served,217125.1089150071,760000.0,154691.84676635207,0.7124548954257781,3.500286096793621,0.6633094461778062,0.0,0.0,86,0.21662468513853905
rr-phase,123,16,poisson,RR,True,11,served,218087.3686363547,760000.0,155253.2437838531,0.7118855381428667,3.484841899611556,0.6636664433076979,0.0,0.0,86,0.21662468513853905
rr-phase,123,16,poisson,RR,True,12,served,217571.31259101463,760000.0,159970.65151877017,0.7352561769918592,3.4931075744743514,0.6490970606990893,0.0,0.0,86,0.21662468513853905
rr-phase,123,16,poisson,RR,True,13,served,217132.3057034202,760000.0,155034.29464413106,0.7140084205428718,3.5001700808081493,0.6623358623761962,0.0,0.0,86,0.21662468513853905
