scheduler,seed,cards,arrival_mode,base_algo,phase_enabled,card_id,kind,mean_load,max_load,std_load,time_cv,time_lif,time_jfi,mean_cong_ratio,max_cong_ratio,completed_tasks,throughput
bestfit-phase,2024,16,poisson,BestFit,True,0,served,433511.6957367832,859999.90625,193468.12420296427,0.446281210185464,1.9837986257518854,0.833912264021589,0.0,0.0,180,0.4368932038834951
bestfit-phase,2024,16,poisson,BestFit,True,1,served,438762.9011230469,773333.3330078125,163367.36561519158,0.37233632377997417,1.7625312692308472,0.8782450753691771,0.0,0.0,164,0.39805825242718446
bestfit-phase,2024,16,poisson,BestFit,True,2,served,426856.1592033905,859999.90625,181168.21306306953,0.4244245026267634,2.014729992077315,0.8473598515364327,0.0,0.0,165,0.40048543689320387
bestfit-phase,2024,16,poisson,BestFit,True,3,served,415667.1895029012,760000.0,175858.38914419778,0.4230749830279071,1.8283858317248671,0.8481818585094948,0.0,0.0,176,0.42718446601941745
bestfit-phase,2024,16,poisson,BestFit,True,4,served,440765.03387391916,765022.84375,174862.75797890668,0.39672556700340744,1.7356704478714045,0.8640121172133066,0.0,0.0,169,0.41019417475728154
bestfit-phase,2024,16,poisson,BestFit,True,5,served,451156.8044267673,773333.3330078125,177052.92337217723,0.39244209914364003,1.7141120901199698,0.8665430158688708,0.0,0.0,169,0.41019417475728154
bestfit-phase,2024,16,poisson,BestFit,True,6,served,414578.0356042362,760000.0,165500.83817109937,0.399203102812445,1.8331892544483712,0.8625425331220692,0.0,0.0,159,0.3859223300970874
bestfit-phase,2024,16,poisson,BestFit,True,7,served,425753.3079916945,763420.796875,153758.44471211752,0.36114445108461024,1.7931059666361833,0.8846227938541733,0.0,0.0,157,0.38106796116504854
bestfit-phase,2024,16,poisson,BestFit,True,8,served,425362.5899598946,760000.0,190823.32259128906,0.4486133174270941,1.786710956578614,0.8324634724293826,0.0,0.0,163,0.39563106796116504
bestfit-phase,2024,16,poisson,BestFit,True,9,served,436972.1720598832,765035.3173828125,165710.9528510386,0.37922541398890125,1.7507643879848054,0.8742696130565725,0.0,0.0,164,0.39805825242718446
bestfit-phase,2024,16,poisson,BestFit,True,10,served,451899.5558394645,763420.796875,184763.26630769283,0.4088591456224605,1.6893594760385253,0.8567763030567221,0.0,0.0,179,0.4344660194174757
bestfit-phase,2024,16,poisson,BestFit,True,11,served,414673.49105212756,867926.0,159320.15405750755,0.38420626708804934,2.093034685670069,0.8713727812154585,0.0,0.0,165,0.40048543689320387
bestfit-phase,2024,16,poisson,BestFit,True,12,served,415584.9680649841,760000.0,166324.95719477613,0.4002188961963809,1.8287475688513366,0.8619388091364363,0.0,0.0,165,0.40048543689320387
bestfit-phase,2024,16,poisson,BestFit,True,13,served,389483.6873980772,760000.0,142549.2297163957,0.36599537882751243,1.9513012344037697,0.8818710629732357,0.0,0.0,147,0.3567961165048544
bestfit-phase,2024,16,poisson,BestFit,True,14,served,398983.8940808935,760000.0,153226.95881014387,0.38404296785743763,1.904838794936196,0.8714680480496498,0.0,0.0,166,0.4029126213592233
bestfit-phase,2024,16,poisson,BestFit,True,15,served,443449.1881470912,770850.9375,168688.78854595858,0.3804016177159058,1.7383072471525425,0.8735872199704647,0.0,0.0,155,0.3762135922330097
bestfit-phase,2024,16,poisson,BestFit,True,0,demand,433511.6957367832,859999.90625,193468.12420296427,0.446281210185464,1.9837986257518854,0.833912264021589,0.0,0.0,180,0.4368932038834951
bestfit-phase,2024,16,poisson,BestFit,True,1,demand,438762.9011230469,773333.3330078125,163367.36561519158,0.37233632377997417,1.7625312692308472,0.8782450753691771,0.0,0.0,164,0.39805825242718446
bestfit-phase,2024,16,poisson,BestFit,True,2,demand,426856.1592033905,859999.90625,181168.21306306953,0.4244245026267634,2.014729992077315,0.8473598515364327,0.0,0.0,165,0.40048543689320387
bestfit-phase,2024,16,poisson,BestFit,True,3,demand,415667.1895029012,760000.0,175858.38914419778,0.4230749830279071,1.8283858317248671,0.8481818585094948,0.0,0.0,176,0.42718446601941745
bestfit-phase,2024,16,poisson,BestFit,True,4,demand,440765.03387391916,765022.84375,174862.75797890668,0.39672556700340744,1.7356704478714045,0.8640121172133066,0.0,0.0,169,0.41019417475728154
bestfit-phase,2024,16,poisson,BestFit,True,5,demand,451156.8044267673,773333.3330078125,177052.92337217723,0.39244209914364003,1.7141120901199698,0.8665430158688708,0.0,0.0,169,0.41019417475728154
bestfit-phase,2024,16,poisson,BestFit,True,6,demand,414578.0356042362,760000.0,165500.83817109937,0.399203102812445,1.8331892544483712,0.8625425331220692,0.0,0.0,159,0.3859223300970874
bestfit-phase,2024,16,poisson,BestFit,True,7,demand,425753.3079916945,763420.796875,153758.44471211752,0.36114445108461024,1.7931059666361833,0.8846227938541733,0.0,0.0,157,0.38106796116504854
bestfit-phase,2024,16,poisson,BestFit,True,8,demand,425362.5899598946,760000.0,190823.32259128906,0.4486133174270941,1.786710956578614,0.8324634724293826,0.0,0.0,163,0.39563106796116504
bestfit-phase,2024,16,poisson,BestFit,True,9,demand,436972.1720598832,765035.3173828125,165710.9528510386,0.37922541398890125,1.7507643879848054,0.8742696130565725,0.0,0.0,164,0.39805825242718446
bestfit-phase,2024,16,poisson,BestFit,True,10,demand,451899.5558394645,763420.796875,184763.26630769283,0.4088591456224605,1.6893594760385253,0.8567763030567221,0.0,0.0,179,0.4344660194174757
bestfit-phase,2024,16,poisson,BestFit,True,11,demand,414673.49105212756,867926.0,159320.15405750755,0.38420626708804934,2.093034685670069,0.8713727812154585,0.0,0.0,165,0.40048543689320387
bestfit-phase,2024,16,poisson,BestFit,True,12,demand,415584.9680649841,760000.0,166324.95719477613,0.4002188961963809,1.8287475688513366,0.8619388091364363,0.0,0.0,165,0.40048543689320387
bestfit-phase,2024,16,poisson,BestFit,True,13,demand,389483.6873980772,760000.0,142549.2297163957,0.36599537882751243,1.9513012344037697,0.8818710629732357,0.0,0.0,147,0.3567961165048544
bestfit-phase,2024,16,poisson,BestFit,True,14,demand,398983.8940808935,760000.0,153226.95881014387,0.38404296785743763,1.904838794936196,0.8714680480496498,0.0,0.0,166,0.4029126213592233
bestfit-phase,2024,16,poisson,BestFit,True,15,demand,443449.1881470912,770850.9375,168688.78854595858,0.3804016177159058,1.7383072471525425,0.8735872199704647,0.0,0.0,155,0.3762135922330097
drf-phase,2024,16,poisson,DRF,True,0,served,433511.6957367832,859999.90625,193468.12420296427,0.446281210185464,1.9837986257518854,0.833912264021589,0.0,0.0,180,0.4368932038834951
drf-phase,2024,16,poisson,DRF,True,1,served,438762.9011230469,773333.3330078125,163367.36561519158,0.37233632377997417,1.7625312692308472,0.8782450753691771,0.0,0.0,164,0.39805825242718446
drf-phase,2024,16,poisson,DRF,True,2,served,426856.1592033905,859999.90625,181168.21306306953,0.4244245026267634,2.014729992077315,0.8473598515364327,0.0,0.0,165,0.40048543689320387
drf-phase,2024,16,poisson,DRF,True,3,served,415667.1895029012,760000.0,175858.38914419778,0.4230749830279071,1.8283858317248671,0.8481818585094948,0.0,0.0,176,0.42718446601941745
drf-phase,2024,16,poisson,DRF,True,4,served,440765.03387391916,765022.84375,174862.75797890668,0.39672556700340744,1.7356704478714045,0.8640121172133066,0.0,0.0,169,0.41019417475728154
drf-phase,2024,16,poisson,DRF,True,5,served,451156.8044267673,773333.3330078125,177052.92337217723,0.39244209914364003,1.7141120901199698,0.8665430158688708,0.0,0.0,169,0.41019417475728154
drf-phase,2024,16,poisson,DRF,True,6,served,414578.0356042362,760000.0,165500.83817109937,0.399203102812445,1.8331892544483712,0.8625425331220692,0.0,0.0,159,0.3859223300970874
drf-phase,2024,16,poisson,DRF,True,7,served,425753.3079916945,763420.796875,153758.44471211752,0.36114445108461024,1.7931059666361833,0.8846227938541733,0.0,0.0,157,0.38106796116504854
drf-phase,2024,16,poisson,DRF,True,8,served,425362.5899598946,760000.0,190823.32259128906,0.4486133174270941,1.786710956578614,0.8324634724293826,0.0,0.0,163,0.39563106796116504
drf-phase,2024,16,poisson,DRF,True,9,served,436972.1720598832,765035.3173828125,165710.9528510386,0.37922541398890125,1.7507643879848054,0.8742696130565725,0.0,0.0,164,0.39805825242718446
drf-phase,2024,16,poisson,DRF,True,10,served,451899.5558394645,763420.796875,184763.26630769283,0.4088591456224605,1.6893594760385253,0.8567763030567221,0.0,0.0,179,0.4344660194174757
drf-phase,2024,16,poisson,DRF,True,11,served,414673.49105212756,867926.0,159320.15405750755,0.38420626708804934,2.093034685670069,0.8713727812154585,0.0,0.0,165,0.40048543689320387
drf-phase,2024,16,poisson,DRF,True,12,served,415584.9680649841,760000.0,166324.95719477613,0.4002188961963809,1.8287475688513366,0.8619388091364363,0.0,0.0,165,0.40048543689320387
drf-phase,2024,16,poisson,DRF,True,13,served,389483.6873980772,760000.0,142549.2297163957,0.36599537882751243,1.9513012344037697,0.8818710629732357,0.0,0.0,147,0.3567961165048544
drf-phase,2024,16,poisson,DRF,True,14,served,398983.8940808935,760000.0,153226.95881014387,0.38404296785743763,1.904838794936196,0.8714680480496498,0.0,0.0,166,0.4029126213592233
drf-phase,2024,16,poisson,DRF,True,15,served,443449.1881470912,770850.9375,168688.78854595858,0.3804016177159058,1.7383072471525425,0.8735872199704647,0.0,0.0,155,0.3762135922330097
drf-phase,2024,16,poisson,DRF,True,0,demand,433511.6957367832,859999.90625,193468.12420296427,0.446281210185464,1.9837986257518854,0.833912264021589,0.0,0.0,180,0.4368932038834951
drf-phase,2024,16,poisson,DRF,True,1,demand,438762.9011230469,773333.3330078125,163367.36561519158,0.37233632377997417,1.7625312692308472,0.8782450753691771,0.0,0.0,164,0.39805825242718446
drf-phase,2024,16,poisson,DRF,True,2,demand,426856.1592033905,859999.90625,181168.21306306953,0.4244245026267634,2.014729992077315,0.8473598515364327,0.0,0.0,165,0.40048543689320387
drf-phase,2024,16,poisson,DRF,True,3,demand,415667.1895029012,760000.0,175858.38914419778,0.4230749830279071,1.8283858317248671,0.8481818585094948,0.0,0.0,176,0.42718446601941745
drf-phase,2024,16,poisson,DRF,True,4,demand,440765.03387391916,765022.84375,174862.75797890668,0.39672556700340744,1.7356704478714045,0.8640121172133066,0.0,0.0,169,0.41019417475728154
drf-phase,2024,16,poisson,DRF,True,5,demand,451156.8044267673,773333.3330078125,177052.92337217723,0.39244209914364003,1.7141120901199698,0.8665430158688708,0.0,0.0,169,0.41019417475728154
drf-phase,2024,16,poisson,DRF,True,6,demand,414578.0356042362,760000.0,165500.83817109937,0.399203102812445,1.8331892544483712,0.8625425331220692,0.0,0.0,159,0.3859223300970874
drf-phase,2024,16,poisson,DRF,True,7,demand,425753.3079916945,763420.796875,153758.44471211752,0.36114445108461024,1.7931059666361833,0.8846227938541733,0.0,0.0,157,0.38106796116504854
drf-phase,2024,16,poisson,DRF,True,8,demand,425362.5899598946,760000.0,190823.32259128906,0.4486133174270941,1.786710956578614,0.8324634724293826,0.0,0.0,163,0.39563106796116504
drf-phase,2024,16,poisson,DRF,True,9,demand,436972.1720598832,765035.3173828125,165710.9528510386,0.37922541398890125,1.7507643879848054,0.8742696130565725,0.0,0.0,164,0.39805825242718446
drf-phase,2024,16,poisson,DRF,True,10,demand,451899.5558394645,763420.796875,184763.26630769283,0.4088591456224605,1.6893594760385253,0.8567763030567221,0.0,0.0,179,0.4344660194174757
drf-phase,2024,16,poisson,DRF,True,11,demand,414673.49105212756,867926.0,159320.15405750755,0.38420626708804934,2.093034685670069,0.8713727812154585,0.0,0.0,165,0.40048543689320387
drf-phase,2024,16,poisson,DRF,True,12,demand,415584.9680649841,760000.0,166324.95719477613,0.4002188961963809,1.8287475688513366,0.8619388091364363,0.0,0.0,165,0.40048543689320387
