scheduler,seed,cards,tasks,arrival_mode,base_algo,phase_enabled,pair_base_scheduler,pair_phase_scheduler,bw_max,d_max,card_cv,median_card_cv,p95_card_cv,std_card_cv,card_jfi,card_lif,max_min_ratio,completion_rate,throughput,throughput_excl_cold,mean_cold_start,p99_delay,p99_delay_excl_cold,avg_delay,avg_delay_excl_cold,mean_start_offset,p95_start_offset,reject_rate_bw,avg_congestion_ratio,mean_congestion_wait_ticks,time_card_cv_demand_mean,time_card_lif_demand_mean,time_card_lif_served_mean
bestfit,2024,16,1600,poisson,BestFit,False,bestfit,bestfit-phase,900000.0,4,0.7976167449045841,0.7878802117071352,1.038045980490244,0.13189103287073023,0.6146209883342778,2.9634842144633096,43.06153334625317,1.0,3.0476190476190474,3.0476190476190474,0.0,15.0,15.0,5.28,5.28,0.0,0.0,0.0,0.037649126658747034,0.605625,1.319813846479812,6.854871274747564,2.963793334411557
drf,2024,16,1600,poisson,DRF,False,drf,drf-phase,900000.0,4,0.7976167449045841,0.7878802117071352,1.038045980490244,0.13189103287073023,0.6146209883342778,2.9634842144633096,43.06153334625317,1.0,3.0476190476190474,3.0476190476190474,0.0,15.0,15.0,5.28,5.28,0.0,0.0,0.0,0.037649126658747034,0.605625,1.319813846479812,6.854871274747564,2.963793334411557
rr-phase,123,16,1600,poisson,RR,True,rr,rr-phase,900000.0,4,0.6477750201177815,0.6408222148244798,0.8877659274944794,0.14005704054324994,0.7064301598121614,2.7262899975641,28.692310446164786,0.856875,2.611428571428571,2.6166708198008446,1.051787016776076,15.0,15.0,6.712618526622903,5.660831509846827,1.051787016776076,4.0,0.143125,0.0,0.0,0.6800074115005852,3.4935651772573166,3.4935651772573166
drf-phase,21,16,1600,poisson,DRF,True,drf,drf-phase,900000.0,4,0.5945516143340336,0.5976856923560103,0.8140139293017118,0.1381430062475903,0.7391297595132045,2.5506049144755525,29.03803343665943,0.848125,2.584761904761905,2.588213219016831,0.7000736919675755,17.0,15.0,6.388356669123065,5.68828297715549,0.7000736919675755,4.0,0.151875,0.0,0.0,0.6395818486942437,3.5339790197776737,3.5339790197776737
rr-phase,2024,16,1600,poisson,RR,True,rr,rr-phase,900000.0,4,0.6558843062287832,0.6384150553769956,0.9377935639178997,0.1508941686230701,0.7018008172876081,2.732204694905656,26.45000610113111,0.856875,2.611428571428571,2.61671089010221,1.0598103574033553,15.299999999999955,15.0,6.720641867250182,5.660831509846827,1.0598103574033553,4.0,0.143125,0.0,0.0,0.6861137587179951,3.4971141386958893,3.4971141386958893
bestfit,99,16,1600,poisson,BestFit,False,bestfit,bestfit-phase,900000.0,4,0.7884399930647343,0.7872200290763375,1.0138693637439637,0.12122210360901729,0.6194703869647777,2.91475029394948,40.39164882057443,1.0,3.0476190476190474,3.0476190476190474,0.0,15.0,15.0,5.28,5.28,0.0,0.0,0.0,0.03871863576246447,0.618125,1.3214130469963457,7.132024357199128,2.8994793221298267
drf,99,16,1600,poisson,DRF,False,drf,drf-phase,900000.0,4,0.7884399930647343,0.7872200290763375,1.0138693637439637,0.12122210360901729,0.6194703869647777,2.91475029394948,40.39164882057443,1.0,3.0476190476190474,3.0476190476190474,0.0,15.0,15.0,5.28,5.28,0.0,0.0,0.0,0.03871863576246447,0.618125,1.3214130469963457,7.132024357199128,2.8994793221298267
rr,99,16,1600,poisson,RR,False,rr,rr-phase,900000.0,4,0.8512066844243356,0.8395092556324102,1.0859034295592254,0.13093874066836436,0.5837253265876169,2.913508099443546,58.740126831711606,1.0,3.0476190476190474,3.0476190476190474,0.0,15.0,15.0,5.28,5.28,0.0,0.0,0.0,0.049463551736461345,0.7425,1.446370963372269,7.141637345654772,2.854695016767499
bestfit-phase,21,16,1600,poisson,BestFit,True,bestfit,bestfit-phase,900000.0,4,0.5945516143340336,0.5976856923560103,0.8140139293017118,0.1381430062475903,0.7391297595132045,2.5506049144755525,29.03803343665943,0.848125,2.584761904761905,2.588213219016831,0.7000736919675755,17.0,15.0,6.388356669123065,5.68828297715549,0.7000736919675755,4.0,0.151875,0.0,0.0,0.6395818486942437,3.5339790197776737,3.5339790197776737
rr-phase,21,16,1600,poisson,RR,True,rr,rr-phase,900000.0,4,0.6524576970101423,0.6336203503733742,0.9312855725256847,0.1577439595800625,0.7040522336407277,2.7153779447612525,29.10255521746206,0.856875,2.611428571428571,2.6170533591004532,1.1283734500364697,16.0,15.0,6.789204959883297,5.660831509846827,1.1283734500364697,4.0,0.143125,0.0,0.0,0.6836860146070496,3.477765163426896,3.477765163426896
