scheduler,seed,cards,arrival_mode,base_algo,phase_enabled,card_id,kind,mean_load,max_load,std_load,time_cv,time_lif,time_jfi,mean_cong_ratio,max_cong_ratio,completed_tasks,throughput
bestfit-phase,21,16,poisson,BestFit,True,0,served,244927.84601798645,760000.0,135589.9133017101,0.553591253530858,3.1029546552423803,0.7654252655861243,0.0,0.0,104,0.2619647355163728
bestfit-phase,21,16,poisson,BestFit,True,1,served,264015.5435345167,760000.0,152886.42485472644,0.5790811510866157,2.87861839430162,0.7488757617520342,0.0,0.0,95,0.23929471032745592
bestfit-phase,21,16,poisson,BestFit,True,2,served,246165.00303792112,760000.0,144908.9418501036,0.5886658950776229,3.0873600658941913,0.7426509842867026,0.0,0.0,91,0.22921914357682618
bestfit-phase,21,16,poisson,BestFit,True,3,served,243122.9471893695,760000.0,143586.67687109916,0.5905928606535807,3.1259904043859454,0.7413998028480305,0.0,0.0,89,0.22418136020151133
bestfit-phase,21,16,poisson,BestFit,True,4,served,227204.6833748229,760000.0,139109.4115928045,0.6122647188716338,3.345001470529623,0.7273425066746454,0.0,0.0,93,0.23425692695214106
bestfit-phase,21,16,poisson,BestFit,True,5,served,234795.9231369057,760000.0,158143.60436070483,0.6735364151467564,3.2368534761860253,0.6879228864999599,0.0,0.0,85,0.2141057934508816
bestfit-phase,21,16,poisson,BestFit,True,6,served,218868.7243953676,760000.0,144030.97992239805,0.658070175719663,3.472401102987767,0.6978092631830737,0.0,0.0,103,0.2594458438287154
bestfit-phase,21,16,poisson,BestFit,True,7,served,210181.02839410814,760000.0,120249.73877285424,0.5721246093980246,3.615930542384312,0.7533940957690257,0.0,0.0,80,0.20151133501259447
bestfit-phase,21,16,poisson,BestFit,True,8,served,209802.0189162862,760000.0,113719.70094719875,0.5420333966975523,3.622462757630803,0.7729168673621551,0.0,0.0,87,0.21914357682619648
bestfit-phase,21,16,poisson,BestFit,True,9,served,215609.68354209303,760000.0,136949.15441508545,0.6351716312794882,3.524888063998419,0.7125333904958094,0.0,0.0,77,0.19395465994962216
