scheduler,seed,cards,tasks,arrival_mode,base_algo,phase_enabled,pair_base_scheduler,pair_phase_scheduler,bw_max,d_max,card_cv,median_card_cv,p95_card_cv,std_card_cv,card_jfi,card_lif,max_min_ratio,completion_rate,throughput,throughput_excl_cold,mean_cold_start,p99_delay,p99_delay_excl_cold,avg_delay,avg_delay_excl_cold,mean_start_offset,p95_start_offset,reject_rate_bw,avg_congestion_ratio,mean_congestion_wait_ticks,time_card_cv_demand_mean,time_card_lif_demand_mean,time_card_lif_served_mean
rr,2024,16,3200,bursty,RR,False,rr,rr-phase,900000.0,2,0.5080792551267789,0.5223634653046685,1.037583924546235,0.3106093754794869,0.7821231249124841,1.907876573086619,21.837780686417545,1.0,6.072106261859583,6.072106261859583,0.0,16.009999999999764,16.009999999999764,5.68,5.68,0.0,0.0,0.0,0.14205937923429793,1.6940625,1.1226493745598691,5.246816046027531,1.6231745801738642
rr,99,16,3200,bursty,RR,False,rr,rr-phase,900000.0,2,0.49385451742288505,0.48203590373622573,0.9226291565262658,0.26089036592367354,0.7929723738560314,1.8253743387335863,17.57178812146358,1.0,6.072106261859583,6.072106261859583,0.0,15.0,15.0,5.4265625,5.4265625,0.0,0.0,0.0,0.12967021243851684,1.5559375,1.1068585328989715,4.959473710980374,1.6070499716477538
rr-phase,21,16,3200,bursty,RR,True,rr,rr-phase,900000.0,2,0.5419844415328658,0.5016864909983716,0.8976657448441294,0.21268013922472762,0.7728946914047953,2.082153304614251,20.89315209415616,0.71375,4.325757575757576,4.333904634518167,0.9925569176882661,17.0,15.0,6.852451838879159,5.859894921190893,0.9925569176882661,2.0,0.28625,2.574447728362202e-06,0.0008756567425569177,0.6192784246450915,2.4217848353876126,2.419269558272658
rr,21,16,3200,bursty,RR,False,rr,rr-phase,900000.0,2,0.5269342579834115,0.5035978229066154,1.0359937696274233,0.31745343637599166,0.7750783355597838,1.9295413679557802,22.32979614993499,1.0,6.083650190114068,6.083650190114068,0.0,15.0,15.0,5.33625,5.33625,0.0,0.0,0.0,0.1342974859116855,1.5746875,1.1256792718972977,5.307688667427177,1.6369162047845967
rr-phase,42,16,3200,poisson,RR,True,rr,rr-phase,900000.0,2,0.38260565609491554,0.3643600099266752,0.6118095491164031,0.1264501522366941,0.8670072935086802,1.754165175076704,11.995362082055648,0.7603125,4.616698292220113,4.62719634920213,1.1956432387998357,17.0,15.0,7.184545828195644,5.988902589395807,1.1956432387998357,2.0,0.2396875,0.0,0.0,0.4215758148948146,2.1929279301543483,2.1929279301543483
rr,2024,16,3200,poisson,RR,False,rr,rr-phase,900000.0,2,0.4335240390764944,0.4356945481103321,0.5814312903191611,0.08885602483177905,0.8396838790751544,1.5354993804853019,11.607361699316057,1.0,6.072106261859583,6.072106261859583,0.0,15.0,15.0,5.285,5.285,0.0,0.0,0.0,0.11819514383376345,1.2046875,1.0305285826719774,4.6282457887244455,1.5134655178661176
rr-phase,42,16,3200,bursty,RR,True,rr,rr-phase,900000.0,2,0.5564467711215169,0.5540165876388643,0.8798228837992256,0.1785642716273267,0.7626849497110967,2.104783878310609,22.329006315129767,0.7203125,4.373814041745731,4.382136506250268,1.0008676789587851,17.0,15.0,6.7982646420824295,5.797396963123644,1.0008676789587851,2.0,0.2796875,1.8214696323515496e-06,0.0008676789587852494,0.6300354343686188,2.4826743051553892,2.48093023021375
drf,21,16,3200,poisson,DRF,False,drf,drf-phase,900000.0,2,0.38709362339481335,0.3798698809079219,0.5468190200505381,0.09169141820293338,0.8667892039647714,1.5631974832538917,6.808850125160604,1.0,6.083650190114068,6.083650190114068,0.0,15.0,15.0,5.2878125,5.2878125,0.0,0.0,0.0,0.10927392795618622,1.0490625,0.9337114887079355,4.320834325250551,1.5299343657174465
rr,123,16,3200,poisson,RR,False,rr,rr-phase,900000.0,2,0.43317400878978424,0.4306405234923421,0.575928379389557,0.08530240167800136,0.8400742735312949,1.5395979480754782,12.386249951858696,1.0,6.072106261859583,6.072106261859583,0.0,15.0,15.0,5.285,5.285,0.0,0.0,0.0,0.12148909549858043,1.2496875,1.0335180120336778,4.667771807326357,1.5188132015911378
p2c,123,16,3200,poisson,P2C,False,p2c,p2c-phase,900000.0,2,0.5327553035513299,0.5315440038874814,0.702823389247083,0.10514464730104822,0.7779827149228185,1.6038970134165291,15.024988147278094,1.0,6.072106261859583,6.072106261859583,0.0,15.0,15.0,5.285,5.285,0.0,0.0,0.0,0.12634016061498682,1.4740625,1.0951650486992774,5.034864666540131,1.5820448859655762
